label	clade	taxonA	taxonB	our_age	tt_median	tt_ci_low	tt_ci_high	tt_adjusted	status	source
Eukaryota_root	Root	Eimeria tenella	Taurulus bubalis	1446.84666864	1530	1085	1671	1598.44475	ok	TimeTree pairwise API
Opisthokonta	Opisthokonta	Membranipora membranacea	Agaricus bisporus	1384.84	1274.566785	985	1392	1274.56678	ok	TimeTree pairwise API
Metazoa	Metazoa	Nephrotoma flavescens	Sycon ciliatum	1018.01	758.11408	701.84693	1020	NA	ok	TimeTree pairwise API
Bilateria	Metazoa	Marthasterias glacialis	Nephrotoma flavescens	629.55	686.16492	627	830	707.60436	ok	TimeTree pairwise API
Euteleostomi	Metazoa	Acipenser ruthenus	Falco cherrug	433.99	429	423.2502	440	NA	ok	TimeTree pairwise API
Protostomia	Metazoa	Membranipora membranacea	Nephrotoma flavescens	594.2	610	543	670.0936	691.52226	ok	TimeTree pairwise API
Arthropoda	Metazoa	Nephrotoma flavescens	Meta bourneti	567.18	547.5614	536.6124	600	563.30898	ok	TimeTree pairwise API
Gastropoda	Metazoa	Steromphala cineraria	Patella pellucida	486.01	421.6005	379.742	500	476.33675	ok	TimeTree pairwise API
Tridacna	Metazoa	Tridacna crocea	Tridacna gigas	119.13	82.09854	17.04908	147.148	51.60312	ok	TimeTree pairwise API
Hexapoda	Metazoa	Nephrotoma flavescens	Orchesella flavescens	464.65	459.040128	425.4415	478.08851	459.04013	ok	TimeTree pairwise API
Pterygota	Metazoa	Nephrotoma flavescens	Ischnura elegans	418.72	400.9845	377.37	441.6044	NA	ok	TimeTree pairwise API
Palaeoptera	Metazoa	Siphlonurus alternatus	Ischnura elegans	341.06	365.53	325.781	430.6273	NA	ok	TimeTree pairwise API
Neoptera	Metazoa	Leuctra nigra	Nephrotoma flavescens	370.21	383.15	346.5226	391.78281	NA	ok	TimeTree pairwise API
Polyneoptera	Metazoa	Leuctra nigra	Ectobius pallidus	191.8	270.35005	25	370.60247	308.09354	ok	TimeTree pairwise API
Paraneoptera	Metazoa	Icerya purchasi	Mesopsocus fuscifrons	236.78	353.075	172.5756	416.60242	NA	ok	TimeTree pairwise API
Endopterygota	Metazoa	Anoplius nigerrimus	Leistus spinibarbis	347.02	344	310.705	389.69061	NA	ok	TimeTree pairwise API
Apidae	Metazoa	Bombus hypnorum	Nomada fabriciana	103.53	108.01197	98.44635	112.01	108.01197	ok	TimeTree pairwise API
Coleoptera	Metazoa	Chrysolina oricalcia	Ophonus ardosiacus	247.02	279.5828425	189.63	307.18618	282.37087	ok	TimeTree pairwise API
Metazoa_node16	Metazoa	Micropterix aruncella	Atherix ibis	277.13	286.142524	151.94	344.7	299.39011	ok	TimeTree pairwise API
