tt_node_age	broad	our_age	n_pairs
1.2	Vertebrates	1.77636452335	1
2.13	Vertebrates	1.505763992675	2
3.36	Viridiplantae	17.60809702	1
3.71	Vertebrates	3.524375105	1
4	Fungi	13.47526065	1
6.9	Viridiplantae	13.2172124535	2
9	Invertebrates	8.078695711	1
11.89	Viridiplantae	5.521251885	1
12.93	Viridiplantae	10.41306277	1
13.47	Viridiplantae	9.794340192	1
16.04	Vertebrates	42.50169385	1
17.31	Viridiplantae	18.92702458	1
18.39	Viridiplantae	19.5493469395	2
19.26	Viridiplantae	8.129589669	1
20.12	Viridiplantae	12.18040421	1
20.79	Viridiplantae	8.123790301	1
21.42	Viridiplantae	31.70100413	1
23.03	Viridiplantae	11.10354635	1
25.14	Viridiplantae	18.70081146	1
27.45	Viridiplantae	38.25900598	1
27.57	Viridiplantae	19.44059636	1
27.63	Viridiplantae	38.873257255	2
27.67	Viridiplantae	22.14674716	1
28.34	Viridiplantae	16.2181569495	4
29.18	Viridiplantae	26.508635858	3
32.51	Viridiplantae	24.31715676775	8
33.89	Viridiplantae	18.93275813	1
34.24	Viridiplantae	37.400039085	2
35.84	Vertebrates	32.7676111	1
35.88	Viridiplantae	22.057794917	2
36.19	Viridiplantae	14.7078605263333	3
38.79	Invertebrates	46.03556198	1
39.51	Viridiplantae	29.31667252	1
42.24	Invertebrates	276.365556905	1
42.39	Viridiplantae	44.25653448	2
43.91	Viridiplantae	45.050452715	4
45.14	Vertebrates	34.6554112816	5
46.11	Viridiplantae	60.7792061625	4
46.18	Vertebrates	25.03776275	1
46.72	Invertebrates	171.5446997575	2
47.42	Viridiplantae	46.12915278	1
47.77	Viridiplantae	35.579692068	5
48.58	Vertebrates	76.82474003	1
49.48	Fungi	35.42139238	1
50.09	Fungi	28.75336751	1
50.68	Viridiplantae	44.11399334685	20
51.6	Invertebrates	119.1283731	1
52.78	Viridiplantae	32.75443135	1
56.71	Viridiplantae	36.5279628235	6
57.01	Invertebrates	64.78415554	1
57.79	Vertebrates	48.16144193	1
59.03	Fungi	53.86916865	1
59.13	Viridiplantae	47.0485637341333	15
61.72	Viridiplantae	18.40075305	1
62.91	Fungi	67.66637004	1
65.11	Viridiplantae	37.850616765	4
65.53	Invertebrates	60.4097265	1
65.65	Viridiplantae	58.3071384651667	3
66.05	Vertebrates	69.8778024817333	6
66.94	Invertebrates	18.2579570205	1
69.07	Viridiplantae	76.525207897	10
69.21	Fungi	111.74335614	2
70.42	Vertebrates	49.46102133204	5
71.25	Vertebrates	146.70351871	1
72.58	Fungi	19.34714255	1
74.25	Vertebrates	64.215063525	1
74.29	Vertebrates	64.215063525	1
75.1	Vertebrates	44.2053183467	6
75.5	Invertebrates	26.23010971	1
76	Vertebrates	96.3225723225	4
76.04	Vertebrates	96.322572325	2
