tt_node_age	broad	our_age	n_pairs
1.2	Vertebrates	2.4709834815	1
2.13	Vertebrates	1.85411945425	2
3.36	Viridiplantae	17.4149870275	1
3.71	Vertebrates	4.283060186	1
4	Fungi	8.107100132	1
6.9	Viridiplantae	13.06990269175	2
9	Invertebrates	10.68103488	1
11.89	Viridiplantae	5.415077417	1
12.93	Viridiplantae	11.82410734	1
13.47	Viridiplantae	10.18663625	1
16.04	Vertebrates	39.39043166	1
17.31	Viridiplantae	17.87318176	1
18.39	Viridiplantae	20.36631743	2
19.26	Viridiplantae	7.424100164	1
20.12	Viridiplantae	11.16856501	1
20.79	Viridiplantae	7.441813471	1
21.42	Viridiplantae	32.82590388	1
23.03	Viridiplantae	11.09181406	1
25.14	Viridiplantae	20.03963257	1
27.45	Viridiplantae	43.20018572	1
27.57	Viridiplantae	22.84762621	1
27.63	Viridiplantae	45.81301868	2
27.67	Viridiplantae	18.40541276	1
28.34	Viridiplantae	14.930021723	4
29.18	Viridiplantae	26.0765165683333	3
32.51	Viridiplantae	22.3774543215	8
33.89	Viridiplantae	17.8625493	1
34.24	Viridiplantae	40.141917865	2
35.84	Vertebrates	39.01740741	1
35.88	Viridiplantae	21.7618082195	2
36.19	Viridiplantae	14.4809261463333	3
38.79	Invertebrates	47.92879463	1
39.51	Viridiplantae	56.83141035	1
42.24	Invertebrates	259.845177495	1
42.39	Viridiplantae	37.08987186	2
43.91	Viridiplantae	65.1572221135	4
45.14	Vertebrates	34.2220342062	5
46.11	Viridiplantae	73.60419805025	4
46.18	Vertebrates	23.8588938	1
46.72	Invertebrates	174.1439370425	2
47.42	Viridiplantae	44.81453047	1
47.77	Viridiplantae	35.646447776	5
48.58	Vertebrates	70.23521609	1
49.48	Fungi	59.42106739	1
50.09	Fungi	30.98646507	1
50.68	Viridiplantae	43.51703835845	20
51.6	Invertebrates	135.7534482	1
52.78	Viridiplantae	31.65071882	1
56.71	Viridiplantae	33.543966051	6
57.01	Invertebrates	66.89946224	1
57.79	Vertebrates	49.29625602	1
59.03	Fungi	54.16412847	1
59.13	Viridiplantae	43.3615955214667	15
61.72	Viridiplantae	17.47133448	1
62.91	Fungi	59.54064174	1
65.11	Viridiplantae	35.751791835	4
65.53	Invertebrates	63.33536375	1
65.65	Viridiplantae	68.8018265005	3
66.05	Vertebrates	65.7301254906667	6
66.94	Invertebrates	20.09535572	1
69.07	Viridiplantae	81.9739541557	10
69.21	Fungi	116.302477881	2
70.42	Vertebrates	45.7249951494	5
71.25	Vertebrates	148.97732482	1
72.58	Fungi	19.68395746	1
74.25	Vertebrates	62.97434366	1
74.29	Vertebrates	62.97434366	1
75.1	Vertebrates	40.8210962661667	6
75.5	Invertebrates	26.07115445	1
76	Vertebrates	107.07573278	4
76.04	Vertebrates	107.07573278	2
79.03	Viridiplantae	59.0704451705	1
80.11	Fungi	103.855517415	2
80.47	Viridiplantae	26.4142184	1
81.45	Invertebrates	126.0438679	1
83.6	Fungi	109.385560743444	9
84.76	Fungi	128.696920875	2
85.37	Viridiplantae	78.3607847592917	36
85.55	Fungi	39.42598256	2
86.34	Invertebrates	30.200028	1
87.04	Viridiplantae	63.24225882	2
87.07	Viridiplantae	34.946386435	2
87.63	Viridiplantae	90.2149081334286	14
88.55	Fungi	108.362446757278	18
88.73	Viridiplantae	53.6751808725	4
89.17	Viridiplantae	65.58998123	2
89.36	Invertebrates	78.90947467	1
90.84	Vertebrates	91.7938135317143	14
93.25	Viridiplantae	52.87217521	2
93.74	Viridiplantae	29.232302345	1
93.91	Viridiplantae	48.283832748	5
94	Vertebrates	140.540489405	4
94.02	Invertebrates	65.47209427	4
94.04	Vertebrates	140.540489405	1
96.88	Invertebrates	57.24543733	1
97.05	Invertebrates	25.91568189	1
97.14	Invertebrates	51.9617437	2
98.19	Invertebrates	160.479764975	4
98.78	Viridiplantae	58.8857305175	6
99.19	Vertebrates	172.299644709	5
99.23	Vertebrates	172.29964471	1
100.36	Invertebrates	138.967274344	15
101.25	Invertebrates	115.5443218	1
101.67	Invertebrates	40.187882821	4
102.61	Viridiplantae	95.3084228321667	27
103.18	Fungi	100.07293157	2
103.76	Vertebrates	219.1871444	2
105.04	Viridiplantae	87.9107945106282	117
105.73	Fungi	141.115840468556	27
106.27	Viridiplantae	89.2342332325	4
107.02	Viridiplantae	110.68404208	3
108	Viridiplantae	79.60202575	3
108.01	Invertebrates	110.6250408	1
110.08	Viridiplantae	97.47811593025	22
110.44	Invertebrates	137.503816463	5
111.16	Viridiplantae	80.6814146256667	30
111.85	Fungi	118.79056591	2
112.06	Invertebrates	186.1716035075	8
112.23	Vertebrates	138.52890116	6
113.01	Viridiplantae	76.603350025	4
113.12	Viridiplantae	100.323394837958	36
113.52	Invertebrates	128.48521599	4
113.97	Viridiplantae	64.0562518136364	11
115.02	Invertebrates	151.26874850125	16
115.5	Vertebrates	116.818206509	10
117.06	Viridiplantae	105.490292374033	45
118.06	Viridiplantae	102.4029537045	60
118.28	Fungi	112.129058528083	12
121.04	Fungi	115.524101306692	13
121.36	Viridiplantae	108.460896039917	90
122.14	Fungi	110.340529756929	14
123.46	Viridiplantae	115.157502160239	23
124.68	Fungi	114.4434074	1
125.12	Viridiplantae	115.803564011701	391
125.92	Fungi	167.71930439	1
126.07	Viridiplantae	112.747035362313	24
128	Viridiplantae	106.00216439	4
130.54	Fungi	189.143179605	2
132.03	Invertebrates	202.4783738	2
134.54	Invertebrates	105.337830905	1
138.68	Fungi	109.639977713133	45
138.76	Viridiplantae	132.70801757222	125
142.11	Vertebrates	140.7902922	2
142.17	Viridiplantae	131.394702190625	120
145	Invertebrates	156.224061666667	3
145.49	Fungi	182.178576867611	18
146.03	Invertebrates	253.827549335	2
151.84	Invertebrates	50.713721295	1
156.37	Fungi	164.218694146667	3
156.71	Fungi	264.666660614403	57
157.15	Fungi	228.827678261227	44
159.61	Viridiplantae	149.154737021098	1290
164.15	Fungi	133.05793848	1
