tt_node_age	broad	our_age	n_pairs
1.2	Vertebrates	105.10880089	1
2.13	Vertebrates	78.831600665	2
3.36	Viridiplantae	190.04046589	1
3.71	Vertebrates	133.0283261	1
4	Fungi	58.19989268	1
6.9	Viridiplantae	142.530349415	2
9	Invertebrates	50.32553077	1
11.89	Viridiplantae	59.38764559	1
12.93	Viridiplantae	24.88625148	1
13.47	Viridiplantae	99.54500594	1
16.04	Vertebrates	118.247401	1
17.31	Viridiplantae	99.54500594	1
18.39	Viridiplantae	199.09001189	2
19.26	Viridiplantae	88.68555074	1
20.12	Viridiplantae	133.0283261	1
20.79	Viridiplantae	88.68555074	1
21.42	Viridiplantae	223.9762634	1
23.03	Viridiplantae	49.77250297	1
25.14	Viridiplantae	93.32344306	1
27.45	Viridiplantae	74.65875445	1
27.57	Viridiplantae	142.5303494	1
27.63	Viridiplantae	285.0606988	2
27.67	Viridiplantae	74.65875445	1
28.34	Viridiplantae	177.37110148	4
29.18	Viridiplantae	285.060698813333	3
32.51	Viridiplantae	266.05665221	8
33.89	Viridiplantae	99.54500594	1
34.24	Viridiplantae	186.64688611	2
35.84	Vertebrates	177.3711015	1
35.88	Viridiplantae	237.55058234	2
36.19	Viridiplantae	158.36705491	3
38.79	Invertebrates	16.72356098	1
39.51	Viridiplantae	24.88625149	1
42.24	Invertebrates	50.32553077	1
42.39	Viridiplantae	149.3175089	2
43.91	Viridiplantae	49.77250297	4
45.14	Vertebrates	315.889485524	5
46.11	Viridiplantae	74.65875445	4
46.18	Vertebrates	88.68555074	1
46.72	Invertebrates	37.74414808	2
47.42	Viridiplantae	111.9881317	1
47.77	Viridiplantae	159.27200951	5
48.58	Vertebrates	88.68555074	1
49.48	Fungi	155.1997138	1
50.09	Fungi	58.19989268	1
50.68	Viridiplantae	475.1011646865	20
51.6	Invertebrates	75.48829617	1
52.78	Viridiplantae	99.54500594	1
56.71	Viridiplantae	399.084978306667	6
57.01	Invertebrates	87.10188019	1
57.79	Vertebrates	88.68555074	1
59.03	Fungi	29.09994633	1
59.13	Viridiplantae	514.376194258667	15
61.72	Viridiplantae	74.65875445	1
62.91	Fungi	77.5998569	1
65.11	Viridiplantae	199.09001188	4
65.53	Invertebrates	16.723561	1
65.65	Viridiplantae	427.5910482	3
66.05	Vertebrates	236.494801993333	6
66.94	Invertebrates	113.16695411	1
69.07	Viridiplantae	149.3175089	10
69.21	Fungi	174.59967803	2
70.42	Vertebrates	189.19584159	5
71.25	Vertebrates	354.74220299	1
72.58	Fungi	21.8249598	1
74.25	Vertebrates	118.247401	1
74.29	Vertebrates	118.247401	1
75.1	Vertebrates	170.801801435	6
75.5	Invertebrates	34.00724126	1
76	Vertebrates	177.37110149	4
76.04	Vertebrates	177.37110149	2
79.03	Viridiplantae	427.591048205	1
80.11	Fungi	145.499731685	2
80.47	Viridiplantae	190.0404659	1
81.45	Invertebrates	143.0304559	1
83.6	Fungi	158.433041172778	9
84.76	Fungi	203.699624385	2
85.37	Viridiplantae	570.121397614444	36
85.55	Fungi	43.649919505	2
86.34	Invertebrates	169.75043118	1
87.04	Viridiplantae	199.09001189	2
87.07	Viridiplantae	149.3175089	2
87.63	Viridiplantae	223.976263375	14
88.55	Fungi	171.366350663056	18
88.73	Viridiplantae	298.63501781	4
89.17	Viridiplantae	447.95252675	2
89.36	Invertebrates	102.021723785	1
90.84	Vertebrates	354.742202994286	14
93.25	Viridiplantae	380.0809318	2
93.74	Viridiplantae	149.3175089	1
93.91	Viridiplantae	268.771516028	5
94	Vertebrates	236.494801995	4
94.02	Invertebrates	85.0181031575	4
94.04	Vertebrates	236.494802	1
96.88	Invertebrates	73.67640242	1
97.05	Invertebrates	34.00724127	1
97.14	Invertebrates	68.014482525	2
98.19	Invertebrates	204.04344758375	4
98.78	Viridiplantae	298.6350178	6
99.19	Vertebrates	295.618502496	5
99.23	Vertebrates	295.6185025	1
100.36	Invertebrates	176.837654562333	15
101.25	Invertebrates	174.2037604	1
101.67	Invertebrates	226.333908225	4
102.61	Viridiplantae	298.635017818889	27
103.18	Fungi	155.199713815	2
103.76	Vertebrates	443.427753715	2
105.04	Viridiplantae	665.141630534444	117
105.73	Fungi	232.799570711111	27
106.27	Viridiplantae	398.1800237425	4
107.02	Viridiplantae	597.270035643333	3
108	Viridiplantae	570.12139765	3
108.01	Invertebrates	16.72356101	1
110.08	Viridiplantae	760.161863489545	22
110.44	Invertebrates	53.515395198	5
111.16	Viridiplantae	447.952526706667	30
111.85	Fungi	310.3994276	2
112.06	Invertebrates	238.050688815625	8
112.23	Vertebrates	325.180352723333	6
113.01	Viridiplantae	447.9525267075	4
113.12	Viridiplantae	373.293772239167	36
113.52	Invertebrates	33.44712199	4
113.97	Viridiplantae	346.145134271818	11
115.02	Invertebrates	54.35157324	16
115.5	Vertebrates	319.26798266	10
117.06	Viridiplantae	447.952526702333	45
118.06	Viridiplantae	597.270035637333	60
118.28	Fungi	164.899695919167	12
121.04	Fungi	175.345830496538	13
121.36	Viridiplantae	562.429283551278	90
122.14	Fungi	164.2068400525	14
123.46	Viridiplantae	855.18209641	23
124.68	Fungi	31.03994276	1
125.12	Viridiplantae	746.587544519527	391
125.92	Fungi	290.999463385	1
126.07	Viridiplantae	837.365802734583	24
128	Viridiplantae	760.1618635375	4
130.54	Fungi	124.15977102	2
132.03	Invertebrates	261.305640585	2
134.54	Invertebrates	69.68150416	1
138.68	Fungi	159.079706652333	45
138.76	Viridiplantae	950.2023294092	125
142.11	Vertebrates	177.37110149	2
142.17	Viridiplantae	895.905053442708	120
145	Invertebrates	203.237720458333	3
145.49	Fungi	310.399427605833	18
146.03	Invertebrates	286.06091181	2
151.84	Invertebrates	65.490135485	1
156.37	Fungi	82.7731806866667	3
156.71	Fungi	465.599141405526	57
157.15	Fungi	398.581083180455	44
159.61	Viridiplantae	1045.22256231871	1290
164.15	Fungi	93.11982829	1
165.45	Invertebrates	139.36300831	16
175.85	Fungi	186.239656575	4
184.5	Fungi	77.5998569	2
190.78	Invertebrates	250.6962386675	4
195.56	Invertebrates	269.5573976975	4
196.21	Invertebrates	306.065171378889	9
208.94	Vertebrates	354.742202993333	3
215.25	Invertebrates	157.17632518	2
224.02	Vertebrates	532.113304466429	28
230.39	Viridiplantae	570.1213976025	2
233.38	Invertebrates	348.4075208	2
238.83	Invertebrates	196.470406454167	6
249.98	Fungi	62.0798855233333	3
256.47	Invertebrates	201.093239548235	17
264.82	Invertebrates	348.40752077125	40
279.83	Vertebrates	472.989603995556	9
282.37	Invertebrates	282.91738529	32
299.39	Invertebrates	374.079653964	50
308.09	Invertebrates	243.885264535	1
318.95	Vertebrates	591.237004992667	60
318.99	Vertebrates	591.237004996	10
320.41	Fungi	186.23965658	4
321.22	Invertebrates	339.500862325833	12
330.31	Viridiplantae	855.182096401667	3
332.67	Invertebrates	396.084339402179	195
344	Invertebrates	418.089024931607	392
349.94	Vertebrates	620.7988552	11
351.78	Fungi	372.479313144	25
353.08	Invertebrates	418.0890249	1
361.53	Invertebrates	557.452033220952	84
365.53	Invertebrates	418.08902495	1
376.38	Viridiplantae	498.8562229	1
383.15	Invertebrates	490.937870205682	88
400.98	Invertebrates	627.133537421196	92
429	Vertebrates	709.48440596625	192
429.04	Vertebrates	709.48440597	12
440.33	Invertebrates	226.464888505	2
459.04	Invertebrates	696.815041577396	144
476.34	Invertebrates	100.651061565	6
483.72	Viridiplantae	1137.68619703445	446
523.45	Fungi	744.958626272	10
531.94	Invertebrates	532.11330445	1
535.61	Invertebrates	301.953184655333	15
563.31	Invertebrates	766.496545708726	51
581.78	Invertebrates	452.92977698	8
609.53	Invertebrates	427.767011589445	9
642.03	Fungi	931.198282870454	264
691.52	Invertebrates	905.859553994058	520
707.6	Cross-group	975.541058183226	1736
707.64	Cross-group	975.541058198226	62
715.48	Cross-group	1064.22660888533	180
715.52	Cross-group	1064.226608905	2
758.11	Cross-group	1152.91215982957	92
758.15	Cross-group	1152.91215985	1
991.82	Viridiplantae	1235.26302824747	79
1274.57	Cross-group	1241.5977104304	3255
1274.61	Cross-group	1241.597710449	35
1398.3	Cross-group	1507.65436260812	80
1598.44	Cross-group	1332.47302783417	10368
1598.48	Cross-group	1332.47302784796	81
