tt_node_age	broad	our_age	n_pairs
1.0	Vertebrates	2.52	1
2.0	Vertebrates	2.238682	2
3.0	Viridiplantae	9.901531	1
4.0	Fungi	13.69	1
4.0	Vertebrates	3.130491	1
7.0	Viridiplantae	8.276445	2
9.0	Invertebrates	10.8	1
12.0	Viridiplantae	15.42163	1
13.0	Viridiplantae	17.957732	2
16.0	Vertebrates	19.2	1
17.0	Viridiplantae	40.013971	1
18.0	Viridiplantae	29.23	2
19.0	Viridiplantae	18.493334	1
20.0	Viridiplantae	22.573465	1
21.0	Viridiplantae	21.2940115	2
23.0	Viridiplantae	27.914814	1
25.0	Viridiplantae	27.78122	1
27.0	Viridiplantae	5.350833	1
28.0	Viridiplantae	32.443334875000005	8
29.0	Viridiplantae	37.1544915	3
33.0	Viridiplantae	31.31407825	8
34.0	Viridiplantae	46.015474000000005	3
36.0	Vertebrates	39.045602	1
36.0	Viridiplantae	28.311593600000002	5
39.0	Invertebrates	26.847098	1
40.0	Viridiplantae	32.072465	1
42.0	Invertebrates	47.084621999999996	1
42.0	Viridiplantae	45.1	2
44.0	Viridiplantae	45.045486	4
45.0	Vertebrates	24.929983	1
45.0	Viridiplantae	45.149341125	4
46.0	Vertebrates	23.494887	1
46.0	Viridiplantae	54.1153555	4
47.0	Invertebrates	42.222311	2
47.0	Viridiplantae	68.662084	1
48.0	Viridiplantae	59.5404075	5
49.0	Fungi	68.809098	1
49.0	Vertebrates	57.462871	1
50.0	Fungi	152.568545	1
51.0	Viridiplantae	48.9092861	20
52.0	Invertebrates	47.172364	1
53.0	Viridiplantae	29.320012	1
57.0	Invertebrates	28.695592	1
57.0	Viridiplantae	48.03611466666666	6
58.0	Vertebrates	31.421367	1
59.0	Fungi	73.3	1
59.0	Viridiplantae	50.89736913333333	15
62.0	Viridiplantae	69.267357	1
63.0	Fungi	69.3	1
65.0	Viridiplantae	76.745516	4
66.0	Invertebrates	54.053803	1
66.0	Vertebrates	46.862462	6
66.0	Viridiplantae	64.97465033333333	3
67.0	Invertebrates	72.454617	1
69.0	Fungi	202.53186499999998	2
69.0	Viridiplantae	74.8527014	10
70.0	Vertebrates	42.1472509	5
71.0	Vertebrates	48.709427500000004	1
73.0	Fungi	126.416843	1
74.0	Vertebrates	37.760996	2
75.0	Invertebrates	28.507219	1
75.0	Vertebrates	40.39276158333333	6
76.0	Vertebrates	42.326292	6
79.0	Viridiplantae	63.2	1
80.0	Fungi	193.8051595	2
80.0	Viridiplantae	94.660474	1
81.0	Invertebrates	97.401572	1
84.0	Fungi	198.1490025	9
85.0	Fungi	208.418193	2
85.0	Viridiplantae	87.50923330555555	36
86.0	Fungi	141.226375	2
86.0	Invertebrates	106.151675	1
87.0	Viridiplantae	78.4443805	4
88.0	Viridiplantae	95.50000028571428	14
89.0	Fungi	200.82370313888887	18
89.0	Invertebrates	98.446232	1
89.0	Viridiplantae	103.96488900000001	6
91.0	Vertebrates	72.64000014285715	14
93.0	Viridiplantae	108.24119049999999	2
94.0	Invertebrates	92.990106	4
94.0	Vertebrates	49.169837	5
94.0	Viridiplantae	102.42121316666667	6
97.0	Invertebrates	87.27264149999999	4
98.0	Invertebrates	121.0111175	4
99.0	Vertebrates	59.950771	6
99.0	Viridiplantae	104.066645	6
100.0	Invertebrates	115.68428829999999	15
101.0	Invertebrates	91.530113	1
102.0	Invertebrates	122.03999999999999	4
103.0	Fungi	179.74118099999998	2
103.0	Viridiplantae	104.84382222222222	27
104.0	Vertebrates	61.98970075	2
105.0	Viridiplantae	110.62817489316238	117
106.0	Fungi	217.47729444444445	27
