trait_x	trait_y	n	pearson_r	pearson_p	phylo_r_pic	phylo_p_pic	pgls_lambda	pgls_p
regi	hor	149	0.595	1.25e-15	0.594	1.39e-15	0.192	2.44e-18
regi	mono_len_bp	149	0.38	1.78e-06	0.4	4.27e-07	1.001	8.36e-07
regi	sat_gc	149	0.108	0.191	0.11	0.183	0.753	0.606
regi	genome_gc	149	0.029	0.73	0.008	0.92	1.001	0.773
regi	genome_mb	149	0.259	0.00144	0.145	0.0783	0.804	0.235
regi	chr_n	149	0.325	5.12e-05	0.214	0.00875	0.697	0.00417
hor	mono_len_bp	149	0.279	0.00056	0.307	0.000143	1	0.000143
hor	sat_gc	149	0.084	0.311	0.032	0.702	0.752	0.903
hor	genome_gc	149	0.065	0.43	-0.074	0.368	1.001	NA
hor	genome_mb	149	0.099	0.229	0.086	0.298	0.803	0.7
hor	chr_n	149	0.327	4.83e-05	0.186	0.0234	0.697	0.00484
mono_len_bp	sat_gc	173	0.206	0.00651	0.102	0.183	0.748	0.0245
mono_len_bp	genome_gc	173	0.148	0.0516	0.038	0.624	1.001	0.631
mono_len_bp	genome_mb	173	0.095	0.213	0.01	0.893	0.864	0.575
mono_len_bp	chr_n	173	0.033	0.664	-0.092	0.228	0.655	0.755
sat_gc	genome_gc	173	0.549	5.45e-15	0.245	0.00118	1.001	0.000904
sat_gc	genome_mb	173	0.041	0.596	-0.105	0.17	0.877	0.124
sat_gc	chr_n	173	0.2	0.0085	-0.048	0.532	0.656	0.863
genome_gc	genome_mb	173	0.142	0.0619	0.211	0.00535	1.002	NA
genome_gc	chr_n	173	0.271	0.000303	-0.043	0.573	0.65	0.844
genome_mb	chr_n	173	0.364	8.49e-07	0.217	0.00415	0.632	0.0167
