Species	Species.1	symbol	size	colour	border	width	architecture
qqMetBour1.1	qqMetBour1.1	rectangle	2	#808080	yes	1	Unknown
qxSacCarc1.2	qxSacCarc1.2	circle	2	#3a86ff	yes	1	Transposon
qeLepCurv1.1	qeLepCurv1.1	circle	2	#ff006e	yes	1	Satellite
qeOrcFlav1.1	qeOrcFlav1.1	circle	2	#ff006e	yes	1	Satellite
qeAllFusc8.1	qeAllFusc8.1	circle	2	#ff006e	yes	1	Satellite
qeDicMinu4.1	qeDicMinu4.1	circle	2	#3a86ff	yes	1	Transposon
ioIscEleg1.1	ioIscEleg1.1	triangle left	2	#fb5609	yes	1	Holocentric
ioPlaPenn1.1	ioPlaPenn1.1	triangle left	2	#fb5609	yes	1	Holocentric
ieEcdTorr1.1	ieEcdTorr1.1	circle	2	#ff006e	yes	1	Satellite
ieSipAlte2.1	ieSipAlte2.1	circle	2	#ff006e	yes	1	Satellite
ieCloDipt1.1	ieCloDipt1.1	circle	2	#ff006e	yes	1	Satellite
ieProBifi2.1	ieProBifi2.1	circle	2	#ff006e	yes	1	Satellite
ihAcaHaem1.1	ihAcaHaem1.1	triangle left	2	#fb5609	yes	1	Holocentric
ihAelAcum1.1	ihAelAcum1.1	triangle left	2	#fb5609	yes	1	Holocentric
ihIcePurc2.1	ihIcePurc2.1	triangle left	2	#fb5609	yes	1	Holocentric
iuMesFusc1.1	iuMesFusc1.1	triangle left	2	#fb5609	yes	1	Holocentric
iuLoeVari1.hap1.1	iuLoeVari1.hap1.1	triangle left	2	#fb5609	yes	1	Holocentric
iuPsoGibb1.1	iuPsoGibb1.1	triangle left	2	#fb5609	yes	1	Holocentric
igLabMino1.1	igLabMino1.1	triangle left	2	#fb5609	yes	1	Holocentric
ibEctPall1.hap1.1	ibEctPall1.hap1.1	circle	2	#ff006e	yes	1	Satellite
ipLeuNigr2.1	ipLeuNigr2.1	rectangle	2	#808080	yes	1	Unknown
ipNemDubi1.1	ipNemDubi1.1	circle	2	#ff006e	yes	1	Satellite
ipNemPict2.1	ipNemPict2.1	rectangle	2	#808080	yes	1	Unknown
ipIsoGram3.1	ipIsoGram3.1	circle	2	#ff006e	yes	1	Satellite
iyMacAlbo1.1	iyMacAlbo1.1	circle	2	#ff006e	yes	1	Satellite
iyRhoChlo1.1	iyRhoChlo1.1	circle	2	#3a86ff	yes	1	Transposon
iyAthRosa1.1	iyAthRosa1.1	circle	2	#ff006e	yes	1	Satellite
iyAbiCand1.1	iyAbiCand1.1	circle	2	#ff006e	yes	1	Satellite
iyNysSpin1.1	iyNysSpin1.1	circle	2	#ff006e	yes	1	Satellite
iyEctCont1.1	iyEctCont1.1	circle	2	#ff006e	yes	1	Satellite
