dataset	model	k	logL	AIC	AICc	dAICc	w_AICc	dAIC	w_AIC	best
Full tree	ARD_irrevH_symST	3	-166.118	338.24	338.33	0	0.398	0	0.393	TRUE
Full tree	ARD_irrevH	4	-165.398	338.8	338.94	0.61	0.293	0.56	0.297	FALSE
Full tree	SYM	3	-166.519	339.04	339.13	0.8	0.267	0.8	0.263	FALSE
Full tree	ARD	6	-165.398	342.8	343.11	4.78	0.036	4.56	0.04	FALSE
Full tree	ARD_irrevH_noTransToSat	3	-170.282	346.56	346.65	8.32	0.006	8.32	0.006	FALSE
Full tree	ER	1	-189.066	380.13	380.15	41.82	0	41.89	0	FALSE
Full tree	ARD_irrevH_noSatToTrans	3	-210.458	426.92	427	88.67	0	88.68	0	FALSE
Full tree	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
Metazoa	ARD_irrevH	4	-87.001	182	182.25	0	0.893	0	0.879	TRUE
Metazoa	ARD	6	-87.001	186	186.53	4.28	0.105	4	0.119	FALSE
Metazoa	ARD_irrevH_symST	3	-94.802	195.6	195.75	13.5	0.001	13.6	0.001	FALSE
Metazoa	SYM	3	-95.411	196.82	196.97	14.72	0.001	14.82	0.001	FALSE
Metazoa	ARD_irrevH_noTransToSat	3	-98.502	203	203.15	20.9	0	21	0	FALSE
Metazoa	ARD_irrevH_noSatToTrans	3	-104.09	214.18	214.33	32.08	0	32.18	0	FALSE
Metazoa	ER	1	-108.19	218.38	218.4	36.15	0	36.38	0	FALSE
Metazoa	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
Viridiplantae	SYM	3	-54.054	114.11	114.44	0	0.516	0	0.482	TRUE
Viridiplantae	ARD_irrevH_symST	3	-54.993	115.99	116.31	1.87	0.203	1.88	0.188	FALSE
Viridiplantae	ARD_irrevH	4	-53.988	115.98	116.53	2.09	0.181	1.87	0.189	FALSE
Viridiplantae	ARD	6	-52.332	116.66	117.86	3.42	0.093	2.55	0.135	FALSE
Viridiplantae	ARD_irrevH_noTransToSat	3	-58.472	122.94	123.27	8.83	0.006	8.83	0.006	FALSE
Viridiplantae	ER	1	-63.099	128.2	128.25	13.81	0.001	14.09	0	FALSE
Viridiplantae	ARD_irrevH_noSatToTrans	3	-71.522	149.04	149.37	34.93	0	34.93	0	FALSE
Viridiplantae	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
