dataset	model	k	logL	AIC	AICc	dAICc	w_AICc	dAIC	w_AIC	best
Full tree	ARD_irrevH_symST	3	-167.81	341.62	341.71	0	0.384	0	0.378	TRUE
Full tree	ARD_irrevH	4	-166.842	341.68	341.83	0.12	0.362	0.06	0.367	FALSE
Full tree	SYM	3	-168.454	342.91	343	1.29	0.202	1.29	0.198	FALSE
Full tree	ARD	6	-166.842	345.68	346	4.29	0.045	4.06	0.05	FALSE
Full tree	ARD_irrevH_noTransToSat	3	-171.737	349.47	349.56	7.85	0.008	7.85	0.007	FALSE
Full tree	ER	1	-191.857	385.71	385.73	44.02	0	44.09	0	FALSE
Full tree	ARD_irrevH_noSatToTrans	3	-213.677	433.35	433.44	91.73	0	91.73	0	FALSE
Full tree	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
Metazoa	ARD_irrevH	4	-88.664	185.33	185.58	0	0.987	0	0.985	TRUE
Metazoa	ARD	6	-90.919	193.84	194.37	8.79	0.012	8.51	0.014	FALSE
Metazoa	ARD_irrevH_symST	3	-97.096	200.19	200.34	14.76	0.001	14.86	0.001	FALSE
Metazoa	SYM	3	-97.8	201.6	201.75	16.17	0	16.27	0	FALSE
Metazoa	ARD_irrevH_noTransToSat	3	-101.355	208.71	208.86	23.28	0	23.38	0	FALSE
Metazoa	ARD_irrevH_noSatToTrans	3	-106.421	218.84	218.99	33.41	0	33.51	0	FALSE
Metazoa	ER	1	-111.206	224.41	224.44	38.86	0	39.08	0	FALSE
Metazoa	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
Viridiplantae	SYM	3	-53.535	113.07	113.4	0	0.562	0	0.541	TRUE
Viridiplantae	ARD_irrevH_symST	3	-54.47	114.94	115.27	1.87	0.221	1.87	0.212	FALSE
Viridiplantae	ARD_irrevH	4	-53.649	115.3	115.85	2.45	0.165	2.23	0.177	FALSE
Viridiplantae	ARD	6	-52.781	117.56	118.76	5.36	0.039	4.49	0.057	FALSE
Viridiplantae	ARD_irrevH_noTransToSat	3	-57.319	120.64	120.97	7.57	0.013	7.57	0.012	FALSE
Viridiplantae	ER	1	-62.739	127.48	127.53	14.13	0	14.41	0	FALSE
Viridiplantae	ARD_irrevH_noSatToTrans	3	-69.417	144.83	145.16	31.76	0	31.76	0	FALSE
Viridiplantae	ARD_irrevH_noDirectST	2	-1e+50	2e+50	2e+50	2e+50	0	2e+50	0	FALSE
