tip	architecture	used
pEimTen1.1	Monocentric sequence unknown	PRUNED
pxEimPrae1.1	Unknown	PRUNED
fTauBub2.1	Satellite	Sat
fPhoGun1.2	Satellite	Sat
fTraTra1.2	Satellite	Sat
fThuMac1.1	Satellite	Sat
fThuAlb1.1	Satellite	Sat
fToxJac2.1	Satellite/transposon	PRUNED
fTelBon1.1	Unknown	PRUNED
fPanHyp1.1	Monocentric sequence unknown	PRUNED
fBarBab1.1	Satellite	Sat
fDanRer4.1	Satellite	Sat
fAloSap1.1	Satellite	Sat
fAciRut3.2	Satellite/transposon	PRUNED
bTaeGut1.4	Satellite	Sat
bCorHaw1.1	Satellite	Sat
bAccGen1.1	Satellite	Sat
bPorHoc1.1	Satellite	Sat
bFalPer1.1	Satellite	Sat
bFalBia1.1	Satellite	Sat
bFalChe1.1	Satellite	Sat
bLagMut1.1	Satellite	Sat
bGalGal1.GRCg7b	Satellite	Sat
rVipLat1.1	Satellite	Sat
mEleMax1.1	Satellite	Sat
mCanLor1.2	Satellite	Sat
mMelMel3.2	Satellite	Sat
mDicBic1.1	Satellite	Sat
mOrcOrc1.1	Satellite	Sat
mCerEla1.1	Satellite	Sat
mLemCat1.1	Satellite	Sat
kaAplTurb1.1	Satellite	Sat
eaMarGlac1.2	Satellite	Sat
iyTipFemo1.1	Satellite	Sat
iyPriPert1.1	Satellite	Sat
iyAnoNige1.1	Satellite	Sat
iyCerRyby1.1	Transposon	Trans
iyPemLugu1.1	Satellite	Sat
iyMimDahl1.1	Satellite	Sat
iySelTumu1.1	Satellite/transposon	PRUNED
iyLasVill1.1	Satellite	Sat
iyAndDors1.1	Satellite/transposon	PRUNED
iyStePhae1.1	Satellite	Sat
iyCoeConi1.1	Satellite	Sat
iyNomFabr1.1	Satellite	Sat
iyBomHypn1.1	Satellite	Sat
iyMacEuro1.1	Satellite	Sat
iyNysSpin1.1	Satellite	Sat
iyEctCont1.1	Satellite	Sat
iyVesVulg1.1	Satellite	Sat
iyAncNigr1.1	Transposon	Trans
iyBuaLabo1.1	Satellite/transposon	PRUNED
iyAmbArma2.1	Satellite	Sat
iyVulBima1.1	Satellite	Sat
iyApaInim1.hap1.1	Satellite	Sat
iyOphLute1.1	Satellite	Sat
iyMacAlbo1.1	Satellite	Sat
iyRhoChlo1.1	Transposon	Trans
iyAbiCand1.1	Satellite	Sat
iyAthRosa1.1	Satellite	Sat
idEpiSucc1.1	Satellite	Sat
idTacFera2.1	Transposon	Trans
idGymRotn1.1	Satellite	Sat
idPolAmen1.1	Satellite	Sat
idBelPand1.1	Satellite	Sat
idMelRora1.1	Transposon	Trans
idPhyMeln1.1	Satellite	Sat
idProAzur1.1	Satellite	Sat
idStoLuna1.1	Transposon	Trans
idSarRose1.1	Transposon	Trans
idHydCyrt1.1	Satellite	Sat
idCluTigr1.1	Satellite	Sat
idPheCory1.1	Transposon	Trans
idSicFerr1.1	Transposon	Trans
idSyrPipi1.1	Transposon	Trans
idSphTaen1.1	Transposon	Trans
idPamGerm1.hap1.1	Transposon	Trans
idMacAtri3.1	Satellite	Sat
idAntAnth1.1	Satellite	Sat
idBomDisc1.1	Satellite	Sat
idAthIbis2.2	Satellite	Sat
idAcrOrbc1.1	Satellite	Sat
idBibMarc1.1	Satellite	Sat
idNepFlae1.1	Transposon	Trans
ilPieNapi4.1	Holocentric	H
ilParAegt1.1	Holocentric	H
ilPyrMalv3.1	Holocentric	H
ilZeuPyri1.1	Holocentric	H
ilParStra1.1	Holocentric	H
ilSesBemb1.1	Holocentric	H
ilHydMica1.1	Holocentric	H
ilThoDeci1.1	Holocentric	H
ilDeiPorc1.1	Holocentric	H
ilBisBetu1.1	Holocentric	H
ilWatBina1.1	Holocentric	H
ilAgoAren1.1	Holocentric	H
ilEmmMono1.1	Holocentric	H
ilNotUddm1.1	Holocentric	H
ilYpsScab1.1	Holocentric	H
ilTinTrin1.1	Holocentric	H
ilMicArun2.1	Holocentric	H
iiLimMarm1.1	Holocentric	H
iiLimRhom1.1	Holocentric	H
iiLimLuna2.1	Holocentric	H
iiGlyPell1.1	Holocentric	H
iiLimAuri1.1	Holocentric	H
icNebSali1.1	Satellite	Sat
icNebBrev1.1	Satellite	Sat
icLeiSpin1.1	Transposon	Trans
icCarProb1.1	Satellite	Sat
icPteMadi1.1	Satellite	Sat
icAgoFuli1.1	Satellite	Sat
icOphArdo1.1	Transposon	Trans
icCanRust1.1	Satellite	Sat
icPodAlpi1.1	Unknown	PRUNED
icRhaFulv1.1	Satellite/transposon	PRUNED
icAgrMuri1.1	Unknown	PRUNED
icAgrCyan1.1	Satellite	Sat
icChrOric1.1	Satellite	Sat
icLepMacu1.1	Satellite	Sat
icPolCerv1.1	Satellite/transposon	PRUNED
icApoCory1.1	Satellite	Sat
icMalBipu1.1	Satellite	Sat
icHalSede1.1	Satellite	Sat
icAdaBipu1.1	Satellite	Sat
icCocSept1.1	Satellite	Sat
icHarAxyr1.1	Satellite	Sat
icPyrSerr1.1	Transposon	Trans
