species_code	genus	species	order	broad_clade	centromere_type	cenpa_presence	cenpa_copies	copy_number_call
pxEimPrae1.1	Eimeria	praecox	Alveolata	Alveolata	Unknown	Present	2	low_copy
wpAliVire1.1	Alitta	virens	Annelida	Annelida	Satellite	Present	1	single_copy
wpLepClav1.1	Lepidonotus	clava	Annelida	Annelida	Satellite	Present	1	single_copy
wcLumRube1.1	Lumbricus	rubellus	Annelida	Annelida	Transposon	Present	1	single_copy
wrPisGeom1.1	Piscicola	geometra	Annelida	Annelida	Transposon	Absent	0	absent_from_curated_tree
wpSthLimi1.1	Sthenelais	limicola	Annelida	Annelida	Transposon	Present	1	single_copy
pEimTen1.1	Eimeria	tenella	Alveolata	Apicomplex	Monocentric sequence unknown	Present	1	single_copy
qeAllFusc8.1	Allacma	fusca	Arthropoda	Arthropoda	Satellite	Present	2	low_copy
qeDicMinu4.1	Dicyrtomina	minuta	Arthropoda	Arthropoda	Transposon	Absent	0	absent_from_curated_tree
qeLepCurv1.1	Lepidocyrtus	curvicollis	Arthropoda	Arthropoda	Satellite	Present	2	low_copy
qeOrcFlav1.1	Orchesella	flavescens	Arthropoda	Arthropoda	Satellite	Present	2	low_copy
qqMetBour1.1	Meta	bourneti	Chelicerata	Arthropods	Unknown	Absent	0	absent_from_curated_tree
icAdaBipu1.1	Adalia	bipunctata	Coleoptera	Arthropods	Satellite	Present	0	no_confirmed_copy
icAgrMuri1.1	Agrypnus	murinus	Coleoptera	Arthropods	Unknown	Present	2	low_copy
icApoCory1.1	Apoderus	coryli	Coleoptera	Arthropods	Satellite	Present	4	expanded
icCanRust1.1	Cantharis	rustica	Coleoptera	Arthropods	Satellite	Present	0	no_confirmed_copy
icChrOric1.1	Chrysolina	oricalcia	Coleoptera	Arthropods	Satellite	Absent	0	absent_from_curated_tree
icCocSept1.1	Coccinella	septempunctata	Coleoptera	Arthropods	Satellite	Present	0	no_confirmed_copy
icHalSede1.1	Halyzia	sedecimguttata	Coleoptera	Arthropods	Satellite	Absent	0	absent_from_curated_tree
icHarAxyr1.1	Harmonia	axyridis	Coleoptera	Arthropods	Satellite	Present	0	no_confirmed_copy
icLeiSpin1.1	Leistus	spinibarbis	Coleoptera	Arthropods	Transposon	Present	0	no_confirmed_copy
icMalBipu1.1	Malachius	bipustulatus	Coleoptera	Arthropods	Satellite	Present	1	single_copy
icMelMelo1.1	Melolontha	melolontha	Coleoptera	Arthropods	Transposon	Present	0	absent_from_curated_tree
icNebBrev1.1	Nebria	brevicollis	Coleoptera	Arthropods	Satellite	Present	4	expanded
icNebSali1.1	Nebria	salina	Coleoptera	Arthropods	Satellite	Present	3	low_copy
icOcyOlen1.1	Ocypus	olens	Coleoptera	Arthropods	Satellite	Present	1	single_copy
icOphArdo1.1	Ophonus	ardosiacus	Coleoptera	Arthropods	Transposon	Present	3	low_copy
icPhiCogn1.1	Philonthus	cognatus	Coleoptera	Arthropods	Transposon	Present	0	no_confirmed_copy
icSilAtra2.1	Phosphuga	atrata	Coleoptera	Arthropods	Satellite	Present	4	expanded
icPodAlpi1.1	Podabrus	alpinus	Coleoptera	Arthropods	Unknown	Present	0	no_confirmed_copy
icPolCerv1.1	Polydrusus	cervinus	Coleoptera	Arthropods	Satellite/transposon	Absent	0	absent_from_curated_tree
icPteMadi1.1	Pterostichus	madidus	Coleoptera	Arthropods	Satellite	Present	1	single_copy
icPyrSerr1.1	Pyrochroa	serraticornis	Coleoptera	Arthropods	Transposon	Absent	0	absent_from_curated_tree
icRhaFulv1.1	Rhagonycha	fulva	Coleoptera	Arthropods	Satellite/transposon	Present	1	single_copy
icLepMacu1.1	Rutpela	maculata	Coleoptera	Arthropods	Satellite	Absent	0	absent_from_curated_tree
qxSacCarc1.2	Sacculina	carcini	Crustacea	Arthropods	Transposon	Absent	0	absent_from_curated_tree
idBelPand1.1	Bellardia	pandia	Diptera	Arthropods	Satellite	Present	0	no_confirmed_copy
idBibMarc1.1	Bibio	marci	Diptera	Arthropods	Satellite	Present	1	single_copy
idBomDisc1.1	Bombylius	discolor	Diptera	Arthropods	Satellite	Present	1	single_copy
idCluTigr1.1	Clusia	tigrina	Diptera	Arthropods	Satellite	Present	2	low_copy
