species	clade	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm	box_le2mm_count	ev_canonical	ev_broad	ev_degenerate	ev_pwm_fimo	lines_positive
iyarmarma	Invertebrate		63220	2.33	10.27	0.35	29.64	1470	0	0	0	0	0
mrhisin	Vertebrates	Mammalia	61730	0.68	26.72	4.22	6.33	422	0	497	500	860	3
icpolcerv	Invertebrate	Coleoptera	5752	0.38	44.94	0.85	52.76	22	0	0	0	0	0
ibectpall	Invertebrate	Blattodea	179200	0.14	4.81	0.32	14.87	248	0	0	0	0	0
ipnemdubi	Invertebrate	Plecoptera	4399	0.14	4.66	0.68	6.83	6	0	1	15	0	0
ftratra	Vertebrates	Actinopterygii	6659	0.12	2.52	0.32	8	8	0	3	5	0	0
blagmut	Vertebrates	Aves	946	0.11	0.53	3.49	0.15	1	0	2	2	0	0
iyvesvulg	Invertebrate	Hymenoptera	1241	0.08	2.9	1.85	1.57	1	0	1	17	0	1
mcanlor	Vertebrates	Mammalia	22116	0.07	1.39	1.94	0.72	15	0	1	1	0	0
icsilatra	Invertebrate	Coleoptera	59208	0.05	8.55	0.36	23.77	27	0	0	0	0	0
latrimari	Viridiplantae	Monocots	16121	0.05	3.41	2.83	1.2	8	0	21	39	0	1
lapotnata	Viridiplantae	Monocots	39033	0.02	4.11	0.37	11.23	7	0	0	0	0	0
lsirifoet	Viridiplantae	Monocots	281687	0.02	0.71	0.32	2.22	50	0	0	0	0	0
dcastglyc	Invertebrate		88737	0.02	0.04	0.24	0.18	18	0	0	0	0	0
idproazur	Invertebrate	Diptera	96442	0.01	2.37	0.13	18.27	5	0	0	0	0	0
lpjunsqua	Viridiplantae	Monocots	157934	0.01	1.52	0.38	4	11	0	0	19	0	1
lpjunbufo	Viridiplantae	Monocots	627881	0.01	0.57	0.13	4.41	89	0	0	0	0	0
ddpopnigr	Viridiplantae	Dicots	69080	0.01	0.47	0.32	1.46	4	0	0	0	0	0
ocsyccili	Invertebrate	Porifera	26043	0	1.28	0.81	1.59	0	0	0	0	0	0
icharaxyr	Invertebrate	Coleoptera	69445	0	0.83	0.38	2.2	1	0	0	0	0	0
ihaelacum	Invertebrate	Hemiptera	62647	0	0.8	0.15	5.2	2	0	0	0	0	0
mcerela	Vertebrates	Mammalia	224055	0	0.76	2.21	0.34	0	0	1	3	0	0
melemax	Vertebrates	Mammalia	32556	0	0.61	2.49	0.25	0	0	0	136	0	1
dascugale	Viridiplantae	Dicots	171015	0	0.49	0.08	5.8	0	0	0	0	0	0
dalyceuro	Viridiplantae	Dicots	8664	0	0.48	0.88	0.55	0	0	1	44	0	1
iynyspin	Invertebrate		3919	0	0.46	0.36	1.29	0	0	0	0	0	0
iyvulbima	Invertebrate	Hymenoptera	129810	0	0.43	0.28	1.54	0	0	0	0	0	0
drparjuda	Viridiplantae	Dicots	46759	0	0.42	0.34	1.25	0	0	107	108	0	2
drchaangu	Viridiplantae	Dicots	286512	0	0.33	0.31	1.08	3	0	0	0	0	0
baccgen	Vertebrates	Aves	112507	0	0.27	0.46	0.58	0	0	0	0	0	0
daarcminu	Viridiplantae	Dicots	30248	0	0.25	0.32	0.79	0	0	0	0	0	0
iystephae	Invertebrate	Hymenoptera	635436	0	0.24	0.1	2.37	22	0	1	1	0	0
lpjuneffu	Viridiplantae	Monocots	163943	0	0.24	0.14	1.69	4	0	0	0	0	0
iylasvill	Invertebrate	Hymenoptera	72443	0	0.22	0.76	0.28	2	0	0	1	0	0
dhquebobu	Invertebrate		167213	0	0.21	0.15	1.41	2	0	0	4	0	0
ihicepurc	Invertebrate	Hemiptera	3643	0	0.19	0.47	0.41	0	0	0	2	0	0
icnebsali	Invertebrate	Coleoptera	38388	0	0.19	0.1	1.89	0	0	0	0	0	0
rviplat	Vertebrates	Reptilia	50688	0	0.17	0.34	0.49	0	0	0	2	0	0
iymimdahl	Invertebrate	Hymenoptera	9509	0	0.16	0.87	0.18	0	0	0	0	0	0
dmaquvulg	Viridiplantae	Dicots	51495	0	0.14	0.75	0.18	0	0	0	0	0	0
dmbervulg	Viridiplantae	Dicots	709899	0	0.13	0.35	0.37	0	0	0	0	0	0
mmelmel	Vertebrates	Mammalia	87864	0	0.11	0.32	0.36	0	0	0	0	0	0
qelepcurv	Invertebrate	Arthropoda	2767	0	0.11	2.02	0.05	0	0	0	0	0	0
eamarglac	Invertebrate	Echinodermata	30679	0	0.1	1.22	0.09	0	0	0	1	0	0
iccarprob	Invertebrate	Coleoptera	130427	0	0.09	0.26	0.34	0	0	0	0	0	0
iyapainim	Invertebrate	Hymenoptera	32353	0	0.09	0.76	0.11	0	0	0	14	0	1
bcorhaw	Vertebrates	Aves	16392	0	0.09	3.9	0.02	0	0	0	0	0	0
drmedarab	Viridiplantae	Dicots	56484	0	0.08	0.13	0.64	0	0	0	0	0	0
icnebbrev	Invertebrate	Coleoptera	19128	0	0.07	0.14	0.52	0	0	0	0	0	0
iilimmarm	Invertebrate	Trichoptera	61594	0	0.07	0.28	0.26	0	0	1	2	0	0
ioisceleg	Invertebrate	Odonata	12570	0	0.07	0.33	0.22	0	0	0	69	0	1
lpschltabe	Invertebrate		273802	0	0.06	0.08	0.71	5	0	1	25	0	1
iilimluna	Invertebrate	Trichoptera	41449	0	0.06	0.38	0.15	1	0	0	1	0	0
lpschlacu	Viridiplantae	Monocots	76171	0	0.05	0.09	0.58	2	0	1	14	0	1
idphymeln	Invertebrate	Diptera	26890	0	0.05	0.14	0.38	0	0	0	0	0	0
morcroc	Invertebrate		100639	0	0.05	0.71	0.07	0	0	0	0	0	0
icquelate	Invertebrate	Coleoptera	67879	0	0.05	0.57	0.08	1	0	0	1	0	0
dcpoltetr	Viridiplantae	Dicots	122114	0	0.05	0.27	0.17	0	0	0	0	0	0
