species	name	clade	n_windows	mean_box_bits	mean_flank_bits	box_minus_flank
human	human	Human	3000	1.74	1.1	0.64
idepisucc	Epicampocera succincta	Invertebrate	21	1.39	0.81	0.58
idproazur	Protocalliphora azurea	Invertebrate	165	1.35	0.84	0.51
lpjunbufo	Juncus bufonius	Viridiplantae	51	1.55	1.09	0.46
mrhisin	Rhinolophus sinicus	Vertebrates	393	1.21	0.74	0.46
iccarprob	Carabus problematicus	Invertebrate	77	1.59	1.14	0.45
dcastglyc	dcastglyc	Invertebrate	76	1.44	1.02	0.42
icnebbrev	Nebria brevicollis	Invertebrate	321	1.78	1.36	0.42
idgymrotn	Gymnosoma rotundatum	Invertebrate	197	1.52	1.15	0.37
lpjuneffu	Juncus effusus	Viridiplantae	47	0.97	0.6	0.36
daarcminu	Arctium minus	Viridiplantae	28	1.43	1.08	0.35
dmbervulg	Berberis vulgaris	Viridiplantae	5	1.15	0.81	0.34
idmacatri	Machimus atricapillus	Invertebrate	23	1.88	1.54	0.34
iynyspin	iynyspin	Invertebrate	74	1.36	1.02	0.34
iyarmarma	iyarmarma	Invertebrate	25	1.2	0.87	0.32
lapotnata	Potamogeton natans	Viridiplantae	292	1.55	1.23	0.32
dhquebobu	dhquebobu	Invertebrate	55	1.28	0.97	0.31
icnebsali	Nebria salina	Invertebrate	375	1.76	1.45	0.31
ftratra	Trachurus trachurus	Vertebrates	494	1.88	1.58	0.3
kaaplturb	Aplidium turbinatum	Invertebrate	15	1.43	1.14	0.29
iyanddors	Andrena dorsata	Invertebrate	154	1.49	1.22	0.27
jahalocto	jahalocto	Invertebrate	21	1.77	1.54	0.23
icsilatra	Phosphuga atrata	Invertebrate	271	1.87	1.7	0.17
ddeuppepu	Euphorbia peplus	Viridiplantae	6	1.18	1.02	0.16
drparjuda	Parietaria judaica	Viridiplantae	264	1.67	1.55	0.12
rviplat	Vipera latastei	Vertebrates	6	1.39	1.31	0.08
dalinvulg	Linaria vulgaris	Viridiplantae	18	1.93	1.97	-0.04
drmedarab	Medicago arabica	Viridiplantae	19	1.77	1.82	-0.05
icagofuli	Agonum fuliginosum	Invertebrate	7	1.54	1.6	-0.06
lpluzsylv	Luzula sylvatica	Viridiplantae	7	1.3	1.36	-0.06
icocyolen	Ocypus olens	Invertebrate	1			
drpotanse	Potentilla anserina	Viridiplantae	1			
idhydcyrt	Hydrotaea cyrtoneurina	Invertebrate	0			
icnicinve	Nicrophorus investigator	Invertebrate	0			
idpolamen	Pollenia amentaria	Invertebrate	4			
damisoron	Misopates orontium	Viridiplantae	0			
dmthaminu	Thalictrum minus	Viridiplantae	0			
icptemadi	Pterostichus madidus	Invertebrate	1			
xggibmagu	Gibbula magus	Invertebrate	2			
mdicbic	Diceros bicornis	Vertebrates	1			
