species	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm
icpolcerv	Coleoptera	5752	0.38247566063977745	44.94089012517385	0.8518776077885952	52.755102040816325
mrhisin	Mammalia	61730	0.6836222258221286	26.721205248663534	4.2183703223716185	6.334485407066052
iyarmarma	NA	63220	2.3252135400189813	10.267320468206265	0.3464093641252768	29.6392694063927
icsilatra	Coleoptera	59208	0.04560194568301581	8.549520335089852	0.35974868261045806	23.76525821596244
ibectpall	Blattodea	179200	0.13839285714285715	4.805245535714286	0.32310267857142855	14.872193436960277
ipnemdubi	Plecoptera	4399	0.136394635144351	4.660150034098659	0.681973175721755	6.833333333333333
lapotnata	Monocots	39033	0.01793354341198473	4.114467245663925	0.36635667255911664	11.23076923076923
latrimari	Monocots	16121	0.04962471310712735	3.4054959369766142	2.83481173624465	1.2013129102844637
iyvesvulg	Hymenoptera	1241	0.08058017727639001	2.9008863819500403	1.8533440773569703	1.565217391304348
ftratra	Actinopterygii	6659	0.12013815888271512	2.5229013365370174	0.3153626670671272	8.0
idproazur	Diptera	96442	0.005184463200680202	2.368262790070716	0.12961158001700504	18.272
lpjunsqua	Monocots	157934	0.006964934719566401	1.5177225929818785	0.3792723542745704	4.0016694490818026
mcanlor	Mammalia	22116	0.06782419967444384	1.3926568999819136	1.939772110689094	0.717948717948718
ocsyccili	Porifera	26043	0.0	1.2824943362899819	0.806358714433821	1.5904761904761904
icharaxyr	Coleoptera	69445	0.0014399884800921593	0.8251133990928072	0.37583699330405357	2.1954022988505746
ihaelacum	Hemiptera	62647	0.003192491260555174	0.8045077976599039	0.15483582613692595	5.195876288659793
mcerela	Mammalia	224055	0.0	0.7569569971658745	2.2110642476177724	0.34234961647153817
lsirifoet	Monocots	281687	0.01775019791470675	0.7121379403380348	0.32127858225619216	2.2165745856353594
melemax	Mammalia	32556	0.0	0.611254453864111	2.494163902199287	0.24507389162561577
lpjunbufo	Monocots	627881	0.014174660485028214	0.5714458631492273	0.12948313454301053	4.413284132841329
blagmut	Aves	946	0.10570824524312897	0.5285412262156448	3.488372093023256	0.15151515151515152
dascugale	Dicots	171015	0.0	0.4853375434903371	0.08361839604713037	5.804195804195804
dalyceuro	Dicots	8664	0.0	0.48476454293628807	0.8771929824561403	0.5526315789473685
ddpopnigr	Dicots	69080	0.005790387955993051	0.4704690214244354	0.3228141285466126	1.4573991031390134
iynyspin	NA	3919	0.0	0.45930084205154376	0.35723398826231184	1.2857142857142856
iyvulbima	Hymenoptera	129810	0.0	0.42523688467760573	0.27578768970033124	1.5418994413407823
drparjuda	Dicots	46759	0.0	0.42130926666524093	0.3379028636198379	1.2468354430379747
drchaangu	Dicots	286512	0.0010470765622382309	0.3315742447087731	0.30714245825654773	1.0795454545454546
baccgen	Aves	112507	0.0	0.26842774227381405	0.4604157963504493	0.583011583011583
daarcminu	Dicots	30248	0.0	0.2545622851097593	0.32068235916424226	0.7938144329896907
iystephae	Hymenoptera	635436	0.003462189740587565	0.24345488766768014	0.10260671413014057	2.372699386503067
lpjuneffu	Monocots	163943	0.0024398723946737586	0.2354476860860177	0.13968269459507268	1.685589519650655
iylasvill	Hymenoptera	72443	0.002760791242770178	0.21534171693607387	0.7619783830045691	0.2826086956521739
dhquebobu	NA	167213	0.0011960792522112515	0.2087158295108634	0.14771578764808957	1.4129554655870444
ihicepurc	Hemiptera	3643	0.0	0.19214932747735383	0.46664836673071647	0.4117647058823529
icnebsali	Coleoptera	38388	0.0	0.1875586120662707	0.09898926747942065	1.894736842105263
rviplat	Reptilia	50688	0.0	0.16571969696969696	0.335385101010101	0.49411764705882355
iymimdahl	Hymenoptera	9509	0.0	0.15774529393206435	0.8728572930907561	0.18072289156626506
dmaquvulg	Dicots	51495	0.0	0.13787746383143995	0.7515292746868628	0.1834625322997416
dmbervulg	Dicots	709899	0.0	0.1286098444990062	0.34976806559806395	0.3677003624647604
mmelmel	Mammalia	87864	0.0	0.11381225530365109	0.3198124374032596	0.3558718861209964
qelepcurv	Arthropoda	2767	0.0	0.10842067220816769	2.023852547885797	0.05357142857142857
eamarglac	Echinodermata	30679	0.0	0.10430587698425633	1.219074937253496	0.0855614973262032
iccarprob	Coleoptera	130427	0.0	0.08817192759167963	0.256848658636632	0.34328358208955223
iyapainim	Hymenoptera	32353	0.0	0.08654529719036874	0.7634531573578958	0.11336032388663966
