species	name	clade	vgroup	best_obs	best_null	excess	n
alpha-satellite (positive)	alpha-satellite (positive)	Human+		78.2	61.0	17.1	1500
dascugale	Scutellaria galericulata	Viridiplantae		74.0	58.2	15.8	1500
icnebsali	Nebria salina	Invertebrate		69.0	57.0	12.0	1498
ftratra	Trachurus trachurus	Vertebrates	Fish	76.1	64.7	11.4	1494
icpolcerv	Polydrusus cervinus	Invertebrate		74.8	64.3	10.5	1500
icnebbrev	Nebria brevicollis	Invertebrate		67.6	57.6	10.0	1499
iystephae	Stelis phaeoptera	Invertebrate		69.8	60.6	9.2	1500
idgymrotn	Gymnosoma rotundatum	Invertebrate		68.2	59.8	8.3	1500
lapotnata	Potamogeton natans	Viridiplantae		70.2	62.5	7.7	1500
idacrorbc	Acrocera orbiculus	Invertebrate		70.1	62.7	7.4	1500
ieprobifi	Procloeon bifidum	Invertebrate		70.6	63.4	7.2	1500
icharaxyr	Harmonia axyridis	Invertebrate		69.1	62.3	6.8	1500
iyvulbima	Vulgichneumon bimaculatus	Invertebrate		67.5	61.3	6.2	1500
iyanddors	Andrena dorsata	Invertebrate		69.8	64.7	5.1	1499
idmacatri	Machimus atricapillus	Invertebrate		63.7	58.7	5.0	1500
iymimdahl	Mimumesa dahlbomi	Invertebrate		69.8	64.9	4.9	1495
tzbugstol	Bugulina stolonifera	Invertebrate		64.8	60.2	4.7	1499
lpluzsylv	Luzula sylvatica	Viridiplantae		63.9	59.5	4.4	1500
wpalivire	Alitta virens	Invertebrate		64.3	60.3	4.0	1500
kaaplturb	Aplidium turbinatum	Invertebrate		64.5	60.6	3.9	1500
icagrcyan	Agrilus cyanescens	Invertebrate		63.5	59.7	3.8	1500
drmedarab	Medicago arabica	Viridiplantae		63.8	59.9	3.8	1500
drhedheli	Hedera helix	Viridiplantae		63.3	59.8	3.5	1500
iyabicand	Abia candens	Invertebrate		64.9	61.4	3.5	1500
lpjuneffu	Juncus effusus	Viridiplantae		63.3	59.8	3.5	1500
lpjunbufo	Juncus bufonius	Viridiplantae		64.3	60.8	3.5	1500
drparjuda	Parietaria judaica	Viridiplantae		67.3	64.0	3.3	1500
iytipfemo	Tiphia femorata	Invertebrate		63.1	60.3	2.8	1500
iccarprob	Carabus problematicus	Invertebrate		63.1	60.4	2.8	1500
melemax	Elephas maximus	Vertebrates	Mammalia	69.8	67.2	2.6	1499
fthualb	Thunnus albacares	Vertebrates	Fish	61.8	59.3	2.6	1500
dcspemari	Spergularia marina	Viridiplantae		62.0	59.5	2.5	1500
lpscisylv	Scirpus sylvaticus	Viridiplantae		51.7	49.2	2.5	1500
lperiangu	Eriophorum angustifolium	Viridiplantae		51.3	48.7	2.5	1500
baccgen	Accipiter gentilis	Vertebrates	Aves	64.5	62.1	2.4	1500
iesipalte	Siphlonurus alternatus	Invertebrate		65.4	63.1	2.3	1500
idepisucc	Epicampocera succincta	Invertebrate		64.8	62.5	2.3	1500
iypripert	Priocnemis perturbator	Invertebrate		62.5	60.2	2.3	1500
bfalbia	Falco biarmicus	Vertebrates	Aves	64.0	61.8	2.2	1500
