species	clade	n	mm	obs	null	pct_obs	pct_null
qelepcurv	Invertebrate	277	0	0	0	0.0	0.0
qelepcurv	Invertebrate	277	1	0	0	0.0	0.0
qelepcurv	Invertebrate	277	2	0	1	0.0	0.36101083032490977
qelepcurv	Invertebrate	277	3	1	9	0.36101083032490977	3.2490974729241877
qelepcurv	Invertebrate	277	4	3	67	1.0830324909747293	24.187725631768952
qelepcurv	Invertebrate	277	5	53	234	19.133574007220215	84.47653429602889
qeorcflav	Invertebrate	500	0	0	0	0.0	0.0
qeorcflav	Invertebrate	500	1	0	0	0.0	0.0
qeorcflav	Invertebrate	500	2	0	1	0.0	0.2
qeorcflav	Invertebrate	500	3	0	4	0.0	0.8
qeorcflav	Invertebrate	500	4	0	28	0.0	5.6
qeorcflav	Invertebrate	500	5	55	172	11.0	34.4
qeallfusc	Invertebrate	500	0	0	0	0.0	0.0
qeallfusc	Invertebrate	500	1	0	0	0.0	0.0
qeallfusc	Invertebrate	500	2	0	0	0.0	0.0
qeallfusc	Invertebrate	500	3	0	1	0.0	0.2
qeallfusc	Invertebrate	500	4	0	18	0.0	3.6
qeallfusc	Invertebrate	500	5	55	124	11.0	24.8
ioisceleg	Invertebrate	500	0	0	0	0.0	0.0
ioisceleg	Invertebrate	500	1	0	0	0.0	0.0
ioisceleg	Invertebrate	500	2	0	0	0.0	0.0
ioisceleg	Invertebrate	500	3	0	2	0.0	0.4
ioisceleg	Invertebrate	500	4	28	23	5.6	4.6
ioisceleg	Invertebrate	500	5	196	198	39.2	39.6
ieclodipt	Invertebrate	500	0	0	0	0.0	0.0
ieclodipt	Invertebrate	500	1	0	0	0.0	0.0
ieclodipt	Invertebrate	500	2	0	0	0.0	0.0
ieclodipt	Invertebrate	500	3	0	0	0.0	0.0
ieclodipt	Invertebrate	500	4	0	5	0.0	1.0
ieclodipt	Invertebrate	500	5	50	48	10.0	9.6
ieecdtorr	Invertebrate	500	0	0	0	0.0	0.0
ieecdtorr	Invertebrate	500	1	0	0	0.0	0.0
ieecdtorr	Invertebrate	500	2	0	0	0.0	0.0
ieecdtorr	Invertebrate	500	3	0	1	0.0	0.2
ieecdtorr	Invertebrate	500	4	7	11	1.4	2.2
ieecdtorr	Invertebrate	500	5	234	131	46.8	26.2
ieprobifi	Invertebrate	500	0	0	0	0.0	0.0
ieprobifi	Invertebrate	500	1	0	0	0.0	0.0
ieprobifi	Invertebrate	500	2	0	0	0.0	0.0
ieprobifi	Invertebrate	500	3	0	3	0.0	0.6
ieprobifi	Invertebrate	500	4	10	28	2.0	5.6
ieprobifi	Invertebrate	500	5	224	208	44.8	41.6
iesipalte	Invertebrate	500	0	0	0	0.0	0.0
iesipalte	Invertebrate	500	1	0	0	0.0	0.0
iesipalte	Invertebrate	500	2	0	0	0.0	0.0
iesipalte	Invertebrate	500	3	0	0	0.0	0.0
iesipalte	Invertebrate	500	4	12	21	2.4	4.2
iesipalte	Invertebrate	500	5	291	165	58.2	33.0
ihaelacum	Invertebrate	500	0	0	0	0.0	0.0
ihaelacum	Invertebrate	500	1	0	0	0.0	0.0
ihaelacum	Invertebrate	500	2	0	0	0.0	0.0
ihaelacum	Invertebrate	500	3	4	2	0.8	0.4
ihaelacum	Invertebrate	500	4	8	10	1.6	2.0
ihaelacum	Invertebrate	500	5	126	95	25.2	19.0
ihicepurc	Invertebrate	365	0	0	0	0.0	0.0
ihicepurc	Invertebrate	365	1	0	0	0.0	0.0
ihicepurc	Invertebrate	365	2	0	0	0.0	0.0
ihicepurc	Invertebrate	365	3	0	4	0.0	1.095890410958904
ihicepurc	Invertebrate	365	4	47	35	12.876712328767123	9.58904109589041
ihicepurc	Invertebrate	365	5	301	168	82.46575342465754	46.02739726027397
iuloevari	Invertebrate	500	0	0	0	0.0	0.0
iuloevari	Invertebrate	500	1	0	0	0.0	0.0
iuloevari	Invertebrate	500	2	0	0	0.0	0.0
iuloevari	Invertebrate	500	3	0	1	0.0	0.2
iuloevari	Invertebrate	500	4	12	26	2.4	5.2
iuloevari	Invertebrate	500	5	223	191	44.6	38.2
iupsogibb	Invertebrate	500	0	0	0	0.0	0.0
iupsogibb	Invertebrate	500	1	0	0	0.0	0.0
iupsogibb	Invertebrate	500	2	0	0	0.0	0.0
iupsogibb	Invertebrate	500	3	0	1	0.0	0.2
iupsogibb	Invertebrate	500	4	0	14	0.0	2.8
iupsogibb	Invertebrate	500	5	19	98	3.8	19.6
iglabmino	Invertebrate	500	0	0	0	0.0	0.0
iglabmino	Invertebrate	500	1	0	0	0.0	0.0
iglabmino	Invertebrate	500	2	0	0	0.0	0.0
iglabmino	Invertebrate	500	3	0	0	0.0	0.0
iglabmino	Invertebrate	500	4	0	5	0.0	1.0
iglabmino	Invertebrate	500	5	30	46	6.0	9.2
ibectpall	Invertebrate	500	0	0	0	0.0	0.0
ibectpall	Invertebrate	500	1	0	0	0.0	0.0
ibectpall	Invertebrate	500	2	0	0	0.0	0.0
ibectpall	Invertebrate	500	3	16	0	3.2	0.0
ibectpall	Invertebrate	500	4	36	29	7.2	5.8
ibectpall	Invertebrate	500	5	101	190	20.2	38.0
ipisogram	Invertebrate	500	0	0	0	0.0	0.0
ipisogram	Invertebrate	500	1	0	0	0.0	0.0
ipisogram	Invertebrate	500	2	0	0	0.0	0.0
ipisogram	Invertebrate	500	3	0	0	0.0	0.0
ipisogram	Invertebrate	500	4	2	6	0.4	1.2
ipisogram	Invertebrate	500	5	101	106	20.2	21.2
ipnemdubi	Invertebrate	438	0	0	0	0.0	0.0
ipnemdubi	Invertebrate	438	1	0	0	0.0	0.0
ipnemdubi	Invertebrate	438	2	0	0	0.0	0.0
ipnemdubi	Invertebrate	438	3	22	1	5.0228310502283104	0.228310502283105
ipnemdubi	Invertebrate	438	4	171	69	39.04109589041096	15.753424657534246
ipnemdubi	Invertebrate	438	5	415	362	94.74885844748859	82.64840182648402
iymacalbo	Invertebrate	500	0	0	0	0.0	0.0
iymacalbo	Invertebrate	500	1	0	0	0.0	0.0
iymacalbo	Invertebrate	500	2	0	0	0.0	0.0
iymacalbo	Invertebrate	500	3	1	1	0.2	0.2
