species	group	n	mm	obs	null	pct_obs	pct_null
falosap	Fish	500	0	0	0	0.0	0.0
falosap	Fish	500	1	0	0	0.0	0.0
falosap	Fish	500	2	0	0	0.0	0.0
falosap	Fish	500	3	0	0	0.0	0.0
falosap	Fish	500	4	0	10	0.0	2.0
falosap	Fish	500	5	45	82	9.0	16.4
fbarbab	Fish	500	0	0	0	0.0	0.0
fbarbab	Fish	500	1	0	0	0.0	0.0
fbarbab	Fish	500	2	0	0	0.0	0.0
fbarbab	Fish	500	3	0	4	0.0	0.8
fbarbab	Fish	500	4	1	29	0.2	5.8
fbarbab	Fish	500	5	78	169	15.6	33.8
fdanrer	Fish	500	0	0	0	0.0	0.0
fdanrer	Fish	500	1	0	0	0.0	0.0
fdanrer	Fish	500	2	0	1	0.0	0.2
fdanrer	Fish	500	3	0	3	0.0	0.6
fdanrer	Fish	500	4	0	14	0.0	2.8
fdanrer	Fish	500	5	19	138	3.8	27.6
ftratra	Fish	500	0	0	0	0.0	0.0
ftratra	Fish	500	1	0	0	0.0	0.0
ftratra	Fish	500	2	0	0	0.0	0.0
ftratra	Fish	500	3	8	1	1.6	0.2
ftratra	Fish	500	4	450	20	90.0	4.0
ftratra	Fish	500	5	496	177	99.2	35.4
ftaubub	Fish	500	0	0	0	0.0	0.0
ftaubub	Fish	500	1	0	0	0.0	0.0
ftaubub	Fish	500	2	0	0	0.0	0.0
ftaubub	Fish	500	3	0	2	0.0	0.4
ftaubub	Fish	500	4	0	16	0.0	3.2
ftaubub	Fish	500	5	11	158	2.2	31.6
fphogun	Fish	291	0	0	0	0.0	0.0
fphogun	Fish	291	1	0	0	0.0	0.0
fphogun	Fish	291	2	0	0	0.0	0.0
fphogun	Fish	291	3	0	0	0.0	0.0
fphogun	Fish	291	4	0	14	0.0	4.810996563573883
fphogun	Fish	291	5	8	79	2.7491408934707904	27.147766323024054
fthualb	Fish	500	0	0	0	0.0	0.0
fthualb	Fish	500	1	0	0	0.0	0.0
fthualb	Fish	500	2	0	0	0.0	0.0
fthualb	Fish	500	3	0	1	0.0	0.2
fthualb	Fish	500	4	2	15	0.4	3.0
fthualb	Fish	500	5	44	133	8.8	26.6
fthumac	Fish	259	0	0	0	0.0	0.0
fthumac	Fish	259	1	0	0	0.0	0.0
fthumac	Fish	259	2	0	0	0.0	0.0
fthumac	Fish	259	3	0	1	0.0	0.3861003861003861
fthumac	Fish	259	4	1	9	0.3861003861003861	3.474903474903475
fthumac	Fish	259	5	27	71	10.424710424710424	27.413127413127413
bcorhaw	Aves	500	0	0	0	0.0	0.0
bcorhaw	Aves	500	1	0	0	0.0	0.0
bcorhaw	Aves	500	2	0	2	0.0	0.4
bcorhaw	Aves	500	3	0	20	0.0	4.0
