species	clade	n_monomers	edit_threshold	labile_obs	labile_null	pct_labile	enrichment
human	Human	500	2	219	0	43.8	inf
kaaplturb	Invertebrate	500	5	319	44	63.8	7.25
icnebbrev	Invertebrate	500	5	398	75	79.6	5.31
icocyolen	Invertebrate	500	5	402	87	80.4	4.62
icnebsali	Invertebrate	500	5	390	85	78.0	4.59
drpotanse	Viridiplantae	500	5	356	93	71.2	3.83
lpluzsylv	Viridiplantae	500	5	248	66	49.6	3.76
dhquebobu	Invertebrate	500	5	343	95	68.6	3.61
idhydcyrt	Invertebrate	500	5	300	83	60.0	3.61
icnicinve	Invertebrate	500	5	376	107	75.2	3.51
drmedarab	Viridiplantae	500	5	378	108	75.6	3.5
idpolamen	Invertebrate	500	5	374	107	74.8	3.5
idmacatri	Invertebrate	279	5	175	52	62.72	3.37
iyarmarma	Invertebrate	500	5	463	144	92.6	3.22
damisoron	Viridiplantae	500	5	291	92	58.2	3.16
iynyspin	Invertebrate	392	5	391	128	99.74	3.05
dmthaminu	Viridiplantae	500	5	406	137	81.2	2.96
lapotnata	Viridiplantae	500	5	470	165	94.0	2.85
icagofuli	Invertebrate	500	5	438	158	87.6	2.77
iccarprob	Invertebrate	500	5	391	141	78.2	2.77
drparjuda	Viridiplantae	500	5	488	178	97.6	2.74
ftratra	Vertebrates	500	5	496	183	99.2	2.71
idproazur	Invertebrate	500	5	235	87	47.0	2.7
idepisucc	Invertebrate	500	5	298	117	59.6	2.55
icptemadi	Invertebrate	500	5	208	82	41.6	2.54
lpjunbufo	Viridiplantae	500	5	206	86	41.2	2.4
idgymrotn	Invertebrate	500	5	299	128	59.8	2.34
xggibmagu	Invertebrate	500	5	414	178	82.8	2.33
ddeuppepu	Viridiplantae	500	5	341	147	68.2	2.32
dmbervulg	Viridiplantae	500	5	377	168	75.4	2.24
mdicbic	Vertebrates	500	5	441	199	88.2	2.22
rviplat	Vertebrates	500	5	378	170	75.6	2.22
iyanddors	Invertebrate	152	5	150	68	98.68	2.21
lpjuneffu	Viridiplantae	500	5	192	89	38.4	2.16
dalinvulg	Viridiplantae	500	5	413	194	82.6	2.13
dcastglyc	Invertebrate	500	5	286	135	57.2	2.12
icsilatra	Invertebrate	500	5	312	153	62.4	2.04
daarcminu	Viridiplantae	500	5	306	151	61.2	2.03
jahalocto	Invertebrate	500	5	74	37	14.8	2.0
idacrorbc	Invertebrate	305	5	283	142	92.79	1.99
ddpopnigr	Viridiplantae	500	5	270	136	54.0	1.99
baccgen	Vertebrates	500	5	387	195	77.4	1.98
mmelmel	Vertebrates	500	5	285	146	57.0	1.95
laapodist	Viridiplantae	500	5	400	208	80.0	1.92
lpschltabe	Invertebrate	500	5	123	65	24.6	1.89
lsirifoet	Viridiplantae	500	5	359	194	71.8	1.85
lpjunsqua	Viridiplantae	500	5	315	173	63.0	1.82
ihicepurc	Invertebrate	365	5	301	168	82.47	1.79
ieecdtorr	Invertebrate	500	5	234	131	46.8	1.79
icharaxyr	Invertebrate	500	5	377	214	75.4	1.76
iesipalte	Invertebrate	500	5	291	165	58.2	1.76
dcpolavic	Viridiplantae	500	5	217	125	43.4	1.74
dcpoltetr	Viridiplantae	500	5	304	176	60.8	1.73
lpcypfusc	Viridiplantae	500	5	343	202	68.6	1.7
iymacalbo	Invertebrate	500	5	171	103	34.2	1.66
lpschltriq	Invertebrate	500	5	91	55	18.2	1.65
jamemvect	Invertebrate	500	5	487	298	97.4	1.63
lpschlacu	Viridiplantae	500	5	112	69	22.4	1.62
ocsyccili	Invertebrate	500	5	442	275	88.4	1.61
iymimdahl	Invertebrate	500	5	500	324	100.0	1.54
iynomfabr	Invertebrate	500	5	163	108	32.6	1.51
wplepclav	Invertebrate	500	5	379	253	75.8	1.5
icmalbipu	Invertebrate	500	5	209	139	41.8	1.5
iyapainim	Invertebrate	500	5	397	268	79.4	1.48
inchrcarn	Invertebrate	500	5	122	84	24.4	1.45
drchaangu	Viridiplantae	498	5	206	144	41.37	1.43
iyvulbima	Invertebrate	500	5	205	144	41.0	1.42
icpolcerv	Invertebrate	500	5	482	345	96.4	1.4
lpelequin	Viridiplantae	500	5	85	63	17.0	1.35
ihaelacum	Invertebrate	500	5	126	95	25.2	1.33
morcroc	Invertebrate	500	5	365	276	73.0	1.32
