tt_node_age	broad	our_age	n_pairs
1.0	Vertebrates	2.52	1
2.0	Vertebrates	2.1098632	2
3.0	Viridiplantae	6.3846986	1
4.0	Fungi	13.3249998	1
4.0	Vertebrates	4.44	1
7.0	Viridiplantae	5.20968035	2
9.0	Invertebrates	10.8	1
12.0	Viridiplantae	10.6743942	1
13.0	Viridiplantae	11.71898965	2
16.0	Vertebrates	19.2	1
17.0	Viridiplantae	25.4159291	1
18.0	Viridiplantae	18.3929457	2
19.0	Viridiplantae	12.3051388	1
20.0	Viridiplantae	15.7281482	1
21.0	Viridiplantae	17.67930975	2
23.0	Viridiplantae	19.0087354	1
25.0	Viridiplantae	19.9212101	1
27.0	Viridiplantae	3.5142044	1
28.0	Viridiplantae	23.487878562500004	8
29.0	Viridiplantae	25.018417	3
33.0	Viridiplantae	23.6132012	8
34.0	Viridiplantae	34.50508713333333	3
36.0	Vertebrates	42.96	1
36.0	Viridiplantae	19.83461946	5
39.0	Invertebrates	25.972833	1
40.0	Viridiplantae	23.9715652	1
42.0	Invertebrates	44.961283550000005	1
42.0	Viridiplantae	45.05360205	2
44.0	Viridiplantae	27.131805149999998	4
45.0	Vertebrates	63.6150003	1
45.0	Viridiplantae	31.5625076	4
46.0	Vertebrates	23.1523806	1
46.0	Viridiplantae	32.381797075	4
47.0	Invertebrates	44.054776825000005	2
47.0	Viridiplantae	50.6672018	1
48.0	Viridiplantae	48.44899134	5
49.0	Fungi	39.3629648	1
49.0	Vertebrates	73.5454752	1
50.0	Fungi	46.4810551	1
51.0	Viridiplantae	35.0381357	20
52.0	Invertebrates	66.3874463	1
53.0	Viridiplantae	22.2575431	1
57.0	Invertebrates	44.6060075	1
57.0	Viridiplantae	45.76661205000001	6
58.0	Vertebrates	74.6419513	1
59.0	Fungi	48.9980062	1
59.0	Viridiplantae	50.754327306666674	15
62.0	Viridiplantae	46.5003105	1
63.0	Fungi	61.8181819	1
65.0	Viridiplantae	52.6960098	4
66.0	Invertebrates	58.621513	1
66.0	Vertebrates	65.3425941	6
66.0	Viridiplantae	51.71841126666667	3
67.0	Invertebrates	72.0238143	1
69.0	Fungi	64.7990613	2
69.0	Viridiplantae	47.81581808	10
70.0	Vertebrates	59.67979835999999	5
71.0	Vertebrates	56.2901436	1
73.0	Fungi	38.7101578	1
74.0	Vertebrates	94.0461634	2
75.0	Invertebrates	16.1547371	1
75.0	Vertebrates	57.56980823333333	6
76.0	Vertebrates	101.776544	6
79.0	Viridiplantae	94.7646079	1
80.0	Fungi	61.1148733	2
80.0	Viridiplantae	79.0424248	1
81.0	Invertebrates	51.9090611	1
84.0	Fungi	63.12491463333333	9
85.0	Fungi	67.9653172	2
85.0	Viridiplantae	62.332939125	36
86.0	Fungi	44.2541772	2
86.0	Invertebrates	105.3890749	1
87.0	Viridiplantae	56.7971858	4
88.0	Viridiplantae	77.13999653571429	14
89.0	Fungi	64.83760256111111	18
89.0	Invertebrates	55.93407755	1
89.0	Viridiplantae	85.88150098333334	6
91.0	Vertebrates	108.96000000000001	14
93.0	Viridiplantae	93.4278007	2
94.0	Invertebrates	52.792633775	4
94.0	Vertebrates	113.75009399999999	5
94.0	Viridiplantae	76.18957948333333	6
97.0	Invertebrates	49.806322475	4
98.0	Invertebrates	72.3205148875	4
99.0	Vertebrates	129.5627828	6
99.0	Viridiplantae	76.11922853333333	6
100.0	Invertebrates	67.56547994666667	15
101.0	Invertebrates	76.3914025	1
102.0	Invertebrates	121.9305796	4
103.0	Fungi	66.95942705	2
103.0	Viridiplantae	77.63127895	27
104.0	Vertebrates	69.0499695	2
105.0	Viridiplantae	91.03805975213675	117
106.0	Fungi	74.04784575555556	27
106.0	Viridiplantae	96.8698226	4
108.0	Invertebrates	98.4006081	1
108.0	Viridiplantae	104.15347130000002	3
110.0	Invertebrates	93.4081174	5
110.0	Viridiplantae	101.77518722272727	22
111.0	Viridiplantae	91.50891615333333	30
112.0	Fungi	92.8723136	2
112.0	Invertebrates	83.9601259	8
112.0	Vertebrates	56.48741591666666	6
113.0	Viridiplantae	80.81851327307692	39
114.0	Invertebrates	98.4006782	4
114.0	Viridiplantae	81.02721245454546	11
115.0	Invertebrates	98.406491625	16
116.0	Vertebrates	54.8456245	10
117.0	Viridiplantae	85.82787167	45
118.0	Fungi	64.9100881	12
118.0	Viridiplantae	113.478798775	60
121.0	Fungi	64.96702052307693	13
121.0	Viridiplantae	97.12821002499999	72
122.0	Fungi	64.32739956428571	14
123.0	Viridiplantae	105.07998027173915	23
125.0	Fungi	98.9308132	1
125.0	Viridiplantae	123.69906827098932	374
126.0	Fungi	70.31348700000001	1
126.0	Viridiplantae	104.58557344791667	24
128.0	Viridiplantae	124.47339070000001	4
131.0	Fungi	106.2957424	2
132.0	Invertebrates	121.70650574999999	2
135.0	Invertebrates	89.49619440000001	1
139.0	Fungi	64.01100569666667	45
139.0	Viridiplantae	137.522607974	125
142.0	Vertebrates	135.50104745	2
142.0	Viridiplantae	132.15897631282053	117
145.0	Fungi	82.48018906388889	18
145.0	Invertebrates	105.95249111666668	3
146.0	Invertebrates	92.09664115000001	2
152.0	Invertebrates	90.2494789	1
156.0	Fungi	102.09310733333332	3
157.0	Fungi	101.96521690990099	101
160.0	Viridiplantae	162.90203171166667	1260
164.0	Fungi	172.8190883	1
165.0	Invertebrates	101.53235079999999	16
176.0	Fungi	116.369949	4
185.0	Fungi	136.5634836	2
191.0	Invertebrates	102.27192070000001	4
196.0	Invertebrates	163.38433631153845	13
209.0	Vertebrates	135.59529593333332	3
215.0	Invertebrates	129.180011275	2
224.0	Vertebrates	144.8259153607143	28
230.0	Viridiplantae	186.917799	2
233.0	Invertebrates	211.6886029	2
239.0	Invertebrates	156.58149168333333	6
250.0	Fungi	116.46019243333335	3
256.0	Invertebrates	156.7111966852941	17
265.0	Invertebrates	238.5284938625	40
280.0	Vertebrates	286.8	9
282.0	Invertebrates	218.20035089375	32
299.0	Invertebrates	252.13173896	50
308.0	Invertebrates	260.3851218	1
319.0	Vertebrates	322.4	70
320.0	Fungi	245.11403895	4
321.0	Invertebrates	234.98918549583334	12
330.0	Viridiplantae	211.537915	3
333.0	Invertebrates	295.01207483282053	195
344.0	Invertebrates	335.82441535714287	392
350.0	Vertebrates	371.99999996818184	11
352.0	Fungi	247.26470639	25
353.0	Invertebrates	322.284135	1
362.0	Invertebrates	350.264658825	84
366.0	Invertebrates	372.72387915	1
376.0	Viridiplantae	341.9557217	1
383.0	Invertebrates	349.06475242386364	88
401.0	Invertebrates	407.4439597978261	92
429.0	Vertebrates	439.9999999708333	204
440.0	Invertebrates	328.318194	2
459.0	Invertebrates	478.10000002083336	144
476.0	Invertebrates	380.2871056666666	6
484.0	Viridiplantae	489.0496868275	440
523.0	Fungi	551.6938114950001	10
532.0	Invertebrates	388.7130277	1
536.0	Invertebrates	382.02987223	15
563.0	Invertebrates	555.4961531196079	51
582.0	Invertebrates	403.01707240625	8
610.0	Invertebrates	400.2799814	9
642.0	Fungi	595.9350333621211	264
692.0	Invertebrates	593.2347491892308	520
708.0	Cross-group	643.4981749992213	1798
715.0	Cross-group	645.6410483375	56
715.0	Invertebrates	645.6410483612902	124
716.0	Cross-group	645.64104835	2
758.0	Cross-group	784.218388187931	29
758.0	Invertebrates	784.218388209375	64
992.0	Viridiplantae	790.0572655057692	78
1275.0	Cross-group	984.9999999783739	3290
1598.0	Cross-group	996.7953509510451	10191
