tt_node_age	broad	our_age	n_pairs
1.2	Vertebrates	1.7363683878	1
2.13	Vertebrates	1.3022762908	2
3.36	Viridiplantae	17.182939978	1
3.71	Vertebrates	2.964300552	1
4	Fungi	7.812010973	1
6.9	Viridiplantae	12.887204983	2
9	Invertebrates	9.158700128	1
11.89	Viridiplantae	5.369668742	1
12.93	Viridiplantae	14.17046259	1
13.47	Viridiplantae	14.53808657	1
16.04	Vertebrates	14.47195678	1
17.31	Viridiplantae	18.589347	1
18.39	Viridiplantae	29.076173135	2
19.26	Viridiplantae	8.566096009	1
20.12	Viridiplantae	12.84914401	1
20.79	Viridiplantae	8.566096009	1
21.42	Viridiplantae	32.4320919	1
23.03	Viridiplantae	10.72111626	1
25.14	Viridiplantae	17.11251584	1
27.45	Viridiplantae	35.36604132	1
27.57	Viridiplantae	22.77823593	1
27.63	Viridiplantae	45.55647186	2
27.67	Viridiplantae	20.74229673	1
28.34	Viridiplantae	17.132192018	4
29.18	Viridiplantae	25.7744099626667	3
32.51	Viridiplantae	25.6982880235	8
33.89	Viridiplantae	18.589347	1
34.24	Viridiplantae	34.225031685	2
35.84	Vertebrates	29.90864804	1
35.88	Viridiplantae	21.478674967	2
36.19	Viridiplantae	14.319116643	3
38.79	Invertebrates	49.96606462	1
39.51	Viridiplantae	49.05909365	1
42.24	Invertebrates	270.88487048	1
42.39	Viridiplantae	41.484593465	2
43.91	Viridiplantae	56.2834233115	4
45.14	Vertebrates	33.9322337308	5
46.11	Viridiplantae	63.50775297725	4
46.18	Vertebrates	24.71347191	1
46.72	Invertebrates	162.12680727	2
47.42	Viridiplantae	38.97820615	1
47.77	Viridiplantae	34.30757202	5
48.58	Vertebrates	68.29842653	1
49.48	Fungi	42.79570599	1
50.09	Fungi	37.15033894	1
50.68	Viridiplantae	42.95734993705	20
51.6	Invertebrates	20.85201184	1
52.78	Viridiplantae	29.03522069	1
56.71	Viridiplantae	38.5474320373333	6
57.01	Invertebrates	73.26443371	1
57.79	Vertebrates	48.29647327	1
59.03	Fungi	70.45885197	1
59.13	Viridiplantae	49.6833568512	15
61.72	Viridiplantae	17.56736026	1
62.91	Fungi	66.236754	1
65.11	Viridiplantae	37.178694	4
65.53	Invertebrates	64.72341543	1
65.65	Viridiplantae	68.334707792	3
66.05	Vertebrates	58.0695953088667	6
66.94	Invertebrates	52.343649585	1
