method	genus	pair	tt_age	our_age	broad
chronos_correlated	Thunnus	maccoyii/albacares	3.71	3.09	Vertebrates
chronos_relaxed	Thunnus	maccoyii/albacares	3.71	2.96	Vertebrates
treePL	Thunnus	maccoyii/albacares	3.71	3.13	Vertebrates
chronos_correlated	Falco	peregrinus/biarmicus	2.13	1.34	Vertebrates
chronos_relaxed	Falco	peregrinus/biarmicus	2.13	0.87	Vertebrates
treePL	Falco	peregrinus/biarmicus	2.13	1.96	Vertebrates
chronos_correlated	Falco	peregrinus/cherrug	2.13	1.76	Vertebrates
chronos_relaxed	Falco	peregrinus/cherrug	2.13	1.74	Vertebrates
treePL	Falco	peregrinus/cherrug	2.13	2.52	Vertebrates
chronos_correlated	Falco	biarmicus/cherrug	1.2	1.76	Vertebrates
chronos_relaxed	Falco	biarmicus/cherrug	1.2	1.74	Vertebrates
treePL	Falco	biarmicus/cherrug	1.2	2.52	Vertebrates
chronos_correlated	Patella	pellucida/vulgata	9.0	8.96	Invertebrates
chronos_relaxed	Patella	pellucida/vulgata	9.0	9.16	Invertebrates
treePL	Patella	pellucida/vulgata	9.0	10.8	Invertebrates
chronos_correlated	Tridacna	gigas/crocea	51.6	123.46	Invertebrates
chronos_relaxed	Tridacna	gigas/crocea	51.6	20.85	Invertebrates
treePL	Tridacna	gigas/crocea	51.6	47.17	Invertebrates
chronos_correlated	Schoenoplectus	tabernaemontani/triqueter	6.9	11.9	Viridiplantae
chronos_relaxed	Schoenoplectus	tabernaemontani/triqueter	6.9	8.59	Viridiplantae
treePL	Schoenoplectus	tabernaemontani/triqueter	6.9	6.65	Viridiplantae
chronos_correlated	Schoenoplectus	tabernaemontani/lacustris	3.36	23.79	Viridiplantae
chronos_relaxed	Schoenoplectus	tabernaemontani/lacustris	3.36	17.18	Viridiplantae
treePL	Schoenoplectus	tabernaemontani/lacustris	3.36	9.9	Viridiplantae
chronos_correlated	Schoenoplectus	triqueter/lacustris	6.9	23.79	Viridiplantae
chronos_relaxed	Schoenoplectus	triqueter/lacustris	6.9	17.18	Viridiplantae
treePL	Schoenoplectus	triqueter/lacustris	6.9	9.9	Viridiplantae
chronos_correlated	Juncus	effusus/bufonius	27.57	20.09	Viridiplantae
chronos_relaxed	Juncus	effusus/bufonius	27.57	22.78	Viridiplantae
treePL	Juncus	effusus/bufonius	27.57	31.93	Viridiplantae
chronos_correlated	Juncus	effusus/squarrosus	27.63	40.17	Viridiplantae
chronos_relaxed	Juncus	effusus/squarrosus	27.63	45.56	Viridiplantae
treePL	Juncus	effusus/squarrosus	27.63	47.76	Viridiplantae
chronos_correlated	Juncus	bufonius/squarrosus	27.63	40.17	Viridiplantae
chronos_relaxed	Juncus	bufonius/squarrosus	27.63	45.56	Viridiplantae
treePL	Juncus	bufonius/squarrosus	27.63	47.76	Viridiplantae
chronos_correlated	Geum	urbanum/rivale	12.93	12.93	Viridiplantae
chronos_relaxed	Geum	urbanum/rivale	12.93	14.17	Viridiplantae
treePL	Geum	urbanum/rivale	12.93	15.48	Viridiplantae
chronos_correlated	Malus	domestica/sylvestris	27.45	34.64	Viridiplantae
chronos_relaxed	Malus	domestica/sylvestris	27.45	35.37	Viridiplantae
treePL	Malus	domestica/sylvestris	27.45	5.35	Viridiplantae
RelTime	Malus	sylvestris/domestica	27.45	3.51	Viridiplantae
RelTime	Geum	rivale/urbanum	12.93	11.71	Viridiplantae
RelTime	Juncus	squarrosus/bufonius	27.63	33.71	Viridiplantae
RelTime	Juncus	squarrosus/effusus	27.63	33.71	Viridiplantae
RelTime	Juncus	bufonius/effusus	27.57	19.86	Viridiplantae
RelTime	Schoenoplectus	lacustris/triqueter	6.9	6.38	Viridiplantae
RelTime	Schoenoplectus	lacustris/tabernaemontani	3.36	6.38	Viridiplantae
RelTime	Schoenoplectus	triqueter/tabernaemontani	6.9	4.03	Viridiplantae
RelTime	Tridacna	crocea/gigas	51.6	66.39	Invertebrates
RelTime	Patella	vulgata/pellucida	9.0	10.8	Invertebrates
RelTime	Falco	cherrug/biarmicus	1.2	2.52	Vertebrates
RelTime	Falco	cherrug/peregrinus	2.13	2.52	Vertebrates
RelTime	Falco	biarmicus/peregrinus	2.13	1.7	Vertebrates
RelTime	Thunnus	albacares/maccoyii	3.71	4.44	Vertebrates
