tt_node_age	broad	our_age	n_pairs
1.2	Vertebrates	12.752602808	1
2.13	Vertebrates	10.598722842	2
3.36	Viridiplantae	27.46928362	1
3.71	Vertebrates	32.76747414	1
4	Fungi	55.09331186	1
6.9	Viridiplantae	21.46814822	2
9	Invertebrates	20.40053715	1
11.89	Viridiplantae	19.13061051	1
12.93	Viridiplantae	16.03431905	1
13.47	Viridiplantae	34.3310932	1
16.04	Vertebrates	25.21122853	1
17.31	Viridiplantae	38.29953775	1
18.39	Viridiplantae	59.91875325	2
19.26	Viridiplantae	27.63009676	1
20.12	Viridiplantae	39.73722882	1
20.79	Viridiplantae	24.99916317	1
21.42	Viridiplantae	54.25048263	1
23.03	Viridiplantae	23.71762845	1
25.14	Viridiplantae	35.23828769	1
27.45	Viridiplantae	13.83648599	1
27.57	Viridiplantae	55.87871858	1
27.63	Viridiplantae	119.532323325	2
27.67	Viridiplantae	36.42093484	1
28.34	Viridiplantae	41.9409478	4
29.18	Viridiplantae	65.40657473	3
32.51	Viridiplantae	64.541526	8
33.89	Viridiplantae	42.84609723	1
34.24	Viridiplantae	66.11603382	2
35.84	Vertebrates	49.64773338	1
35.88	Viridiplantae	48.89419693	2
36.19	Viridiplantae	39.30771403	3
38.79	Invertebrates	11.34809092	1
39.51	Viridiplantae	19.78533744	1
42.24	Invertebrates	21.46034463	1
42.39	Viridiplantae	53.34773326	2
43.91	Viridiplantae	33.129005075	4
45.14	Vertebrates	72.091098814	5
46.11	Viridiplantae	42.5554948165	4
46.18	Vertebrates	28.86424177	1
46.72	Invertebrates	17.38903093	2
47.42	Viridiplantae	59.98193239	1
47.77	Viridiplantae	66.857276392	5
48.58	Vertebrates	33.30210933	1
49.48	Fungi	67.45485154	1
50.09	Fungi	63.12285828	1
50.68	Viridiplantae	240.731963605	20
51.6	Invertebrates	30.35394085	1
52.78	Viridiplantae	35.03296999	1
56.71	Viridiplantae	110.8063694	6
57.01	Invertebrates	29.87146617	1
57.79	Vertebrates	29.62831741	1
59.03	Fungi	31.08792993	1
59.13	Viridiplantae	246.786643045333	15
61.72	Viridiplantae	47.07424597	1
62.91	Fungi	77.53807767	1
65.11	Viridiplantae	78.85142278	4
65.53	Invertebrates	16.03297986	1
65.65	Viridiplantae	209.918247146667	3
