fasta	sat_length_bp	sat_AT_pct
bAccGen1.1.fa	173	45.33
bCorHaw1.1.fa	1401	44.34
bFalBia1.1.fa	174	50.19
bFalChe1.1.fa	174	49.89
bFalPer1.1.fa	174	49.9
bGalGal1.GRCg7b.fa	44	61.33
bLagMut1.1.fa	2101	59.92
bPorHoc1.1.fa	190	50.05
daArcMinu1.1.fa	153	62.21
daBalNigr1.1.fa	86	75.49
daLinVulg1.1.fa	249	63.88
daLycEuro1.1.fa	512	39.98
daMisOron1.1.fa	129	63.88
daScuGale1.1.fa	125	71.38
daSheArve1.1.fa	39	69.44
daTanVulg1.hap1.1.fa	174	67.54
dcAreSerp1.hap1.1.fa	169	66.41
dcMoeTrin1.hap1.1.fa	169	75.02
dcPolAvic1.1.fa	177	65.35
dcPolTetr1.hap1.1.fa	375	66.7
dcSpeMari1.1.fa	175	69.01
ddAraThal4.1.fa	178	62.3
ddBarVulg1.1.fa	383	62.33
ddEupPepu3.1.fa	156	57.8
ddHotPalu2.hap1.1.fa	167	57.52
ddMerAnnu1.1.fa	93	59.8
ddPopNigr1.1.fa	143	50.53
dhCorColu1.hap1.1.fa	306	52.62
dhQueRobu3.1.fa	146	66.45
dmAquVulg1.hap1.1.fa	329	57.1
dmBerVulg1.1.fa	180	59.47
dmThaMinu1.hap1.1.fa	179	65.38
drAstGlyc1.1.fa	165	62.35
drChaAngu1.1.fa	220	70.26
drGeuRiva1.hap1.1.fa	159	65.34
drHedHeli1.1.fa	159	63.87
drMedArab1.1.fa	169	69.05
drParJuda1.1.fa	357	69.53
drPotAnse1.1.fa	150	64.63
drTriFrag1.1.fa	163	46.61
eaMarGlac1.2.fa	487	49.66
fAloSap1.1.fa	174	72.4
fBarBab1.1.fa	255	66.05
fDanRer4.1.fa	185	65.04
fPhoGun1.2.fa	191	64.1
fTauBub2.1.fa	185	64.87
fThuAlb1.1.fa	126	54.64
fThuMac1.1.fa	126	60.61
fTraTra1.2.fa	181	59.07
ibEctPall1.hap1.1.fa	509	66.59
icAdaBipu1.1.fa	184	68.86
icAgoFuli1.1.fa	492	76.93
icAgrCyan1.1.fa	150	66.91
icApoCory1.1.fa	146	76.05
icCanRust1.1.fa	145	76.57
icCarProb1.1.fa	205	66.0
icCetAura1.1.fa	168	60.86
icChrOric1.1.fa	13	93.06
icCocSept1.1.fa	144	64.17
icHalSede1.1.fa	129	63.6
icHarAxyr1.1.fa	274	60.87
icLepMacu1.1.fa	295	66.79
icMalBipu1.1.fa	128	46.55
icNebBrev1.1.fa	137	70.07
icNebSali1.1.fa	133	69.51
icNicInve2.1.fa	247	64.71
icOcyOlen1.1.fa	165	71.42
icPolCerv1.1.fa	853	69.73
icPteMadi1.1.fa	156	75.41
icQueLate1.hap1.1.fa	693	65.31
icRhaFulv1.1.fa	76	75.57
icScaQuad2.1.fa	92	80.39
icSilAtra2.1.fa	115	56.63
idAcrOrbc1.1.fa	422	70.39
idAntAnth1.1.fa	387	72.6
idAthIbis2.2.fa	876	61.94
idBelPand1.1.fa	62	86.48
idBibMarc1.1.fa	100	73.83
idBomDisc1.1.fa	97	68.84
idCluTigr1.1.fa	192	63.3
idEpiSucc1.1.fa	160	67.43
idGymRotn1.1.fa	168	66.37
idHydCyrt1.1.fa	131	64.68
idMacAtri3.1.fa	138	65.66
idPhyMeln1.1.fa	180	66.94
idPolAmen1.1.fa	164	69.27
idProAzur1.1.fa	186	67.27
ieCloDipt1.1.fa	72	65.38
ieEcdTorr1.1.fa	246	71.62
ieProBifi2.1.fa	333	60.93
ieSipAlte2.1.fa	340	69.68
igLabMino1.1.fa	160	80.57
ihAelAcum1.1.fa	152	67.42
ihIcePurc2.1.fa	333	64.27
iiLimAuri1.1.fa	163	63.16
iiLimLuna2.1.fa	249	64.75
iiLimMarm1.1.fa	205	63.73
iiLimRhom1.1.fa	187	63.77
ilPieNapi4.1.fa	84	52.17
inChrCarn1.1.fa	165	72.38
ioIscEleg1.1.fa	313	67.28
ipIsoGram3.1.fa	94	55.37
ipNemDubi1.1.fa	899	27.81
iuLoeVari1.hap1.1.fa	550	61.08
iuPsoGibb1.1.fa	166	70.81
iyAbiCand1.1.fa	146	62.11
iyAmbArma2.1.fa	148	57.29
iyAndDors1.1.fa	177	53.5
iyAnoNige1.1.fa	349	60.65
iyApaInim1.hap1.1.fa	319	56.0
iyAthRosa1.1.fa	46	55.53
iyBomHypn1.1.fa	36	72.87
