fasta	regimentation_max	top_family	HOR_score
drChaAngu1	100	1219_20	61.756
icCanRust1	94.9	338_2	78.294
idBibMarc1	90.921	100_3	70.436
icAgoFuli1	86.986	503_1	48.184
idGymRotn1	84.444	397_4	5.403
mEleMax1	84.223	848_2	77.745
mDicBic1	77.928	228_1	45.679
idAthIbis2	75	1056_1	5.127
laTriMari1	75	1187_3	20.64
eaMarGlac1	74.129	484_1	13.269
iyLasVill1	73.75	178_9	85.507
wpLepClav1	70.574	283_1	58.841
lpDigSang1	70.047	159_1	21.615
ddPopNigr1	66.667	213_10	2.835
drTriFrag1	64.865	626_1	31.176
mCanLor1	64.076	738_1	47.133
dhCorColu1	63.07	306_1	27.241
tzMemMemb1	62.442	335_1	39.456
drParJuda1	61.453	359_2	13.795
laAliPlan1	61.383	538_5	15.793
drGeuRiva1	61.11	159_1	19.707
iyAbiCand1	60.011	146_1	35.426
icPolCerv1	59.683	967_1	18.132
icQueLate1	58.462	800_10	13.182
dmThaMinu1	58.222	180_1	16.893
GCA_000001405	57.268	170_2	17.619
bAccGen1	57.26	173_1	23.413
daArcMinu1	57.143	450_4	8.948
daScuGale1	56.188	124_1	18.846
mMelMel3	53.095	138_1	32.4
wpAliVire1	53.083	652_5	43.011
jaRicFlor1	52.852	595_1	21.107
lpJunBufo1	52.211	155_1	10.765
bLagMut1	50	2561_3	31.863
fPhoGun1	50	186_6	75.138
icCetAura1	48.853	168_3	46.861
idBomDisc1	47.253	142_4	36.445
icOcyOlen1	47.198	172_1	18.46
idAntAnth1	46.667	2312_3	55.511
daLinVulg1	46.501	266_9	14.322
icSilAtra2	46.28	341_2	23.248
dcPolTetr1	45.864	382_3	13.598
fTauBub2	45.773	186_1	27.203
iyNysSpin1	42.667	181_7	75.896
idEpiSucc1	41.996	158_1	6.707
fDanRer4	41.8	186_2	24.45
dmBerVulg1	41.455	179_1	6.942
iySelTumu1	39.65	282_4	76.971
ieSipAlte2	39.141	177_4	13.178
rosCan_S27_v1	38.918	130_3	24.201
icScaQuad2	38.489	110_1	13.152
lpJunEffu1	36.216	147_1	9.761
rVipLat1	36.187	168_2	16.279
idCluTigr1	35.906	116_5	0.75
iyMimDahl1	35.84	348_7	62.726
mOrcOrc1	34.844	168_1	19.544
bGalGal1	34.488	42_1	10.025
drAstGlyc1	34.003	171_1	7.979
iyVesVulg1	33.333	2068_4	21.35
fTraTra1	33.158	190_3	11
xgGibMagu1	33.092	218_2	12.383
ddBarVulg1	32.255	410_2	4.252
icCarProb1	31.96	210_1	14.483
bCorHaw1	31.868	1451_1	56.009
dmAquVulg1	30.931	331_1	5.446
daMisOron1	30.733	123_2	7.086
lpJunSqua1	30.232	155_2	8.856
ddHotPalu2	30.044	168_3	2.689
tzBugStol2	29.969	228_1	25.573
kaAplTurb1	29.826	156_1	12.837
iyAthRosa1	29.643	46_1	11.493
mCerEla1	29.194	796_1	4.12
fBarBab1	29.066	254_1	29.617
ocSycCili1	28.502	367_1	17.684
ddEupPepu3	28.329	159_1	5.765
ibEctPall1	28.231	248_4	19.585
ieCloDipt1	27.995	106_2	11.105
qeAllFusc8	27.624	148_3	7.161
daBalNigr1	27.554	86_2	8.283
idPhyMeln1	27.083	186_7	1.845
idPolAmen1	26.918	168_4	17.602
lpPhlPrat1	26.84	83_3	4.248
iyPriPert1	26.667	184_3	6.972
ieEcdTorr1	25.463	246_1	17.906
dcAreSerp1	23.812	170_2	4.058
dcSpeMari1	23.304	178_1	5.333
iyVulBima1	23.046	140_1	9.345
laPotNata1	22.935	145_7	8.671
drPotAnse1	22.72	150_1	2.875
drMedArab1	21.794	169_1	12.93
dcMoeTrin1	21.527	169_1	2.81
iyOphLute1	21.014	162_5	6.205
daTanVulg1	20.187	179_19	4.877
idMacAtri3	20	139_2	19.692
ddAraThal4	19.835	178_1	4.776
bFalChe1	19.679	174_1	7.12
fAloSap1	19.619	172_1	16.093
bPorHoc1	19.521	191_1	10.67
idProAzur1	17.586	104_3	1.621
icHarAxyr1	16.803	278_1	9.646
drHedHeli1	16.42	160_1	3.946
iyNomFabr1	16.325	100_1	13.894
lpLeeOryz1	16.321	101_2	2.934
bFalPer1	16.102	174_2	18.739
daSheArve1	15.777	39_2	4.633
bFalBia1	15.21	174_1	7.755
iyEctCont1	15.04	149_1	3.442
ipIsoGram3	14.879	179_4	3.282
ieProBifi2	14.168	158_2	11.631
icAgrCyan1	13.551	143_1	1.347
fThuAlb1	13.333	127_4	13.381
dhQueRobu3	12.597	146_1	2.11
dcPolAvic1	12.46	172_1	2.128
icNebSali1	11.837	139_2	5.77
icNicInve2	10.908	183_1	2.541
iyTipFemo1	10.216	138_4	20.656
iyAmbArma2	10.142	148_1	3.588
icApoCory1	9.052	147_1	8.967
jaDiaLine6	8.667	152_1	21.462
xbLimFort5	8.472	34_1	1.577
idHydCyrt1	8.332	124_1	0.981
iyStePhae1	7.971	50_2	3.568
ddMerAnnu1	7.708	99_2	0.198
jaNemVect1	7.574	546_1	25.702
jrHalOcto1	7.377	59_1	3.198
iyMacEuro1	7.37	176_1	3.653
icPteMadi1	7.344	158_1	4.594
tnLinLong1	7.296	152_2	7.39
icNebBrev1	7.2	139_7	1.263
icLepMacu1	7.083	277_1	10.903
mLemCat1	6.827	41_1	0.731
qeOrcFlav1	6.785	125_1	1.587
laApoDist1	6.721	208_17	2.686
icChrOric1	6.573	13_1	0.344
iyApaInim1	6.45	318_1	4.156
icMalBipu1	6.153	133_2	4.069
iyAnoNige1	5.898	351_2	7.114
iyMacAlbo1	5.889	152_2	3.501
icHalSede1	4.855	132_2	1.653
iyBomHypn1	4.681	30_2	0.394
iyPemLugu1	4	1058_1	0.561
