species	name	clade	vgroup	n_arrays	Mbp	canonical	canonical_perMbp	canonical_enrich	broad	broad_perMbp	broad_enrich	degenerated	degenerated_perMbp	degenerated_enrich
drparjuda	Parietaria judaica	Viridiplantae		46759	16.7	0	0.0	0.0	2179	130.498	140.23	2139	128.102	550.98
iystephae	Stelis phaeoptera	Invertebrate		634325	32.86	0	0.0	0.0	812	24.711	4.93	559	17.011	13.77
iyanonige	Anoplius nigerrimus	Invertebrate		33919	11.84	0	0.0	0.0	127	10.725	4.2	124	10.471	16.59
latrimari	Triglochin maritima	Viridiplantae		16106	30.13	0	0.0	0.0	186	6.173	2.39	41	1.361	2.18
lsirifoet	Iris foetidissima	Viridiplantae		281687	122.29	0	0.0	0.0	26	0.213	0.33	22	0.18	1.13
mcanlor	Canis lupus	Vertebrates	Mammalia	22116	16.24	0	0.0	0.0	17	1.047	0.14	16	0.985	0.53
iylasvill	Lasioglossum villosulum	Invertebrate		72389	28.16	0	0.0	0.0	18	0.639	0.14	13	0.462	0.39
bgalgal	Gallus gallus	Vertebrates	Aves	21417	0.95	0	0.0	0.0	12	12.572	4.62	12	12.572	18.74
lpschlacu	Schoenoplectus lacustris	Viridiplantae		76160	9.96	0	0.0	0.0	20	2.007	2.93	7	0.703	4.1
lpjuneffu	Juncus effusus	Viridiplantae		163943	27.91	0	0.0	0.0	6	0.215	0.36	6	0.215	1.46
idclutigr	Clusia tigrina	Invertebrate		1534444	270.52	0	0.0	0.0	15	0.055	0.03	4	0.015	0.03
mcerela	Cervus elaphus	Vertebrates	Mammalia	224055	178.21	0	0.0	0.0	7	0.039	0.01	4	0.022	0.01
mmelmel	Meles meles	Vertebrates	Mammalia	87864	12.48	0	0.0	0.0	3	0.24	0.04	2	0.16	0.11
ipisogram	Isoperla grammatica	Invertebrate		201890	17.55	0	0.0	0.0	2	0.114	0.04	2	0.114	0.15
ddpopnigr	Populus nigra	Viridiplantae		69080	9.28	0	0.0	0.0	5	0.539	0.08	1	0.108	0.07
lpelequin	Eleocharis quinqueflora	Viridiplantae		483017	39.65	0	0.0	0.0	3	0.076	0.04	1	0.025	0.06
ddmerannu	Mercurialis annua	Viridiplantae		154513	14.3	0	0.0	0.0	2	0.14	0.07	1	0.07	0.13
iyvesvulg	Vespula vulgaris	Invertebrate		1236	2.25	0	0.0	0.0	1	0.444	0.48	1	0.444	1.92
iyophlute	Ophion luteus	Invertebrate		21215	3.42	0	0.0	0.0	1	0.293	0.04	1	0.293	0.18
idgymrotn	Gymnosoma rotundatum	Invertebrate		26452	5.86	0	0.0	0.0	1	0.171	0.15	1	0.171	0.61
ocsyccili	Sycon ciliatum	Invertebrate		26043	8.63	0	0.0	0.0	1	0.116	0.02	1	0.116	0.07
lpluzsylv	Luzula sylvatica	Viridiplantae		616319	85.38	0	0.0	0.0	1	0.012	0.04	1	0.012	0.14
iyseltumu	Seladonia tumulorum	Invertebrate		27014	3.86	0	0.0	0.0	585	151.633	81.68	0	0.0	0.0
lpdigsang	Digitaria sanguinalis	Viridiplantae		104747	17.57	0	0.0	0.0	290	16.51	2.95	0	0.0	0.0
dhcorcolu	Corylus colurna	Viridiplantae		95770	29.26	0	0.0	0.0	179	6.117	0.85	0	0.0	0.0
iilimmarm	Limnephilus marmoratus	Invertebrate		61594	12.64	0	0.0	0.0	61	4.826	2.33	0	0.0	0.0
iuloevari	Loensia variegata	Invertebrate		32540	9.0	0	0.0	0.0	57	6.335	2.1	0	0.0	0.0
ddeuppepu	Euphorbia peplus	Viridiplantae		131031	20.44	0	0.0	0.0	54	2.642	0.52	0	0.0	0.0
tzmemmemb	Membranipora membranacea	Invertebrate		27483	9.18	0	0.0	0.0	28	3.049	1.13	0	0.0	0.0
iilimluna	Limnephilus lunatus	Invertebrate		41449	10.32	0	0.0	0.0	22	2.131	1.14	0	0.0	0.0
iycoeconi	Coelioxys conoideus	Invertebrate		49454	45.54	0	0.0	0.0	20	0.439	0.07	0	0.0	0.0
icagrcyan	Agrilus cyanescens	Invertebrate		265450	42.37	0	0.0	0.0	19	0.448	0.22	0	0.0	0.0
lpjunsqua	Juncus squarrosus	Viridiplantae		157934	24.96	0	0.0	0.0	19	0.761	0.14	0	0.0	0.0
idathibis	Atherix ibis	Invertebrate		112605	99.25	0	0.0	0.0	18	0.181	30.68	0	0.0	0.0
lapotnata	Potamogeton natans	Viridiplantae		39033	5.59	0	0.0	0.0	18	3.218	0.36	0	0.0	0.0
ftratra	Trachurus trachurus	Vertebrates	Fish	6659	1.21	0	0.0	0.0	12	9.947	3.93	0	0.0	0.0
blagmut	Lagopus muta	Vertebrates	Aves	946	1.99	0	0.0	0.0	10	5.037	1.5	0	0.0	0.0
damisoron	Misopates orontium	Viridiplantae		31645	4.09	0	0.0	0.0	9	2.201	1.88	0	0.0	0.0
iyathrosa	Athalia rosae	Invertebrate		61525	2.83	0	0.0	0.0	8	2.829	0.77	0	0.0	0.0
ddhotpalu	Hottonia palustris	Viridiplantae		138338	23.11	0	0.0	0.0	8	0.346	0.15	0	0.0	0.0
qeorcflav	Orchesella flavescens	Invertebrate		26178	3.55	0	0.0	0.0	7	1.97	0.29	0	0.0	0.0
dmaquvulg	Aquilegia vulgaris	Viridiplantae		51495	16.93	0	0.0	0.0	5	0.295	0.07	0	0.0	0.0
drchaangu	Chamaenerion angustifolium	Viridiplantae		286512	86.54	0	0.0	0.0	5	0.058	0.05	0	0.0	0.0
ibectpall	Ectobius pallidus	Invertebrate		179200	53.88	0	0.0	0.0	4	0.074	0.05	0	0.0	0.0
idantanth	Anthrax anthrax	Invertebrate		123511	52.17	0	0.0	0.0	4	0.077	0.11	0	0.0	0.0
iypemlugu	Pemphredon lugubris	Invertebrate		51082	44.85	0	0.0	0.0	3	0.067	0.09	0	0.0	0.0
iilimrhom	Limnephilus rhombicus	Invertebrate		24055	4.49	0	0.0	0.0	3	0.668	0.31	0	0.0	0.0
ipnemdubi	Nemoura dubitans	Invertebrate		4399	3.95	0	0.0	0.0	2	0.506	0.05	0	0.0	0.0
icquelate	Quedius lateralis	Invertebrate		67879	25.31	0	0.0	0.0	2	0.079	0.05	0	0.0	0.0
melemax	Elephas maximus	Vertebrates	Mammalia	32556	27.55	0	0.0	0.0	2	0.073	0.01	0	0.0	0.0
