,X,fasta,TRASH_new_class,count_total,is_holocentric,HOR_score,regimentation_score,bg_col,order
263,285,GCA_000001405,170_2,NA,FALSE,17.61884083,57.2679855,#99999990,1
52,62,iyPemLugu1,1021_2,26581,FALSE,0.001750429,0,#3f37c990,2
46,56,iyCoeConi1,1105_1,49500,FALSE,0.002538677,0,#3f37c990,2
108,118,idAthIbis2,1125_4,13128,FALSE,0.017307285,3.333333333,#3f37c990,2
41,51,iyLasVill1,1087_2,9103,FALSE,0.020708243,0,#3f37c990,2
55,65,iyPemLugu1,1183_12,4145,FALSE,0.038647488,0,#3f37c990,2
42,52,iyLasVill1,1015_21,1172,FALSE,0.043841003,0,#3f37c990,2
40,50,iyLasVill1,1043_4,6913,FALSE,0.058134214,0,#3f37c990,2
112,122,idBomDisc1,97_2,254525,FALSE,0.086591428,4.952830189,#3f37c990,2
117,127,idCluTigr1,196_1,1201608,FALSE,0.189763423,8.092485549,#3f37c990,2
11,12,ieSipAlte2,1007_4,1796,FALSE,0.191769759,0,#3f37c990,2
87,97,icScaQuad2,86_2,463272,FALSE,0.2826687,1.495552834,#3f37c990,2
90,100,icChrOric1,13_1,1986884,FALSE,0.343902301,6.573123932,#3f37c990,2
48,58,iyBomHypn1,30_2,175659,FALSE,0.39416979,4.680619255,#3f37c990,2
54,64,iyPemLugu1,1058_1,18868,FALSE,0.560956194,4,#3f37c990,2
113,123,idAntAnth1,390_1,97634,FALSE,0.733200711,14.04125135,#3f37c990,2
118,128,idCluTigr1,116_5,332836,FALSE,0.749652934,35.90573844,#3f37c990,2
127,137,idBelPand1,67_1,50662,FALSE,0.833147027,1.672138763,#3f37c990,2
60,70,iyPriPert1,229_12,21494,FALSE,0.920380721,8.573800776,#3f37c990,2
119,129,idHydCyrt1,124_1,137191,FALSE,0.981430927,8.331785074,#3f37c990,2
111,121,idBomDisc1,132_1,53906,FALSE,1.002734016,3.312953152,#3f37c990,2
123,133,idEpiSucc1,170_4,25133,FALSE,1.237519635,4.211435818,#3f37c990,2
72,82,icNebBrev1,139_7,19128,FALSE,1.263015601,7.199981845,#3f37c990,2
103,113,icAgrCyan1,143_1,151027,FALSE,1.347234037,13.55085008,#3f37c990,2
83,93,icQueLate1,175_15,2132,FALSE,1.392507643,2.857142857,#3f37c990,2
146,159,xbLimFort5,34_1,206166,FALSE,1.576847532,8.472004672,#3f37c990,2
58,68,iyPriPert1,176_4,28605,FALSE,1.579473978,2.125670562,#3f37c990,2
2,2,qeOrcFlav1,125_1,26178,FALSE,1.586720878,6.784610994,#3f37c990,2
131,141,idProAzur1,104_3,53492,FALSE,1.620692453,17.58593803,#3f37c990,2
84,94,icSilAtra2,120_5,19223,FALSE,1.645539562,4.681818182,#3f37c990,2
98,108,icHalSede1,132_2,34304,FALSE,1.652824634,4.855057932,#3f37c990,2
35,45,iyLasVill1,138_21,10261,FALSE,1.742439679,1.041666667,#3f37c990,2
130,140,idPhyMeln1,166_8,4201,FALSE,1.805835009,0,#3f37c990,2
128,138,idPhyMeln1,186_7,6743,FALSE,1.845210911,27.08333333,#3f37c990,2
104,114,icAgrCyan1,172_2,114423,FALSE,1.90336226,9.350044093,#3f37c990,2
33,43,iyAndDors1,178_2,1519,FALSE,2.052919601,0,#3f37c990,2
43,53,iySelTumu1,57_2,16716,FALSE,2.084711522,9.756097561,#3f37c990,2
122,132,idEpiSucc1,199_5,33497,FALSE,2.207387127,5.231442869,#3f37c990,2
56,66,iyPemLugu1,4922_4,703,FALSE,2.410426818,0,#3f37c990,2
86,96,icNicInve2,183_1,47195,FALSE,2.540587997,10.90787467,#3f37c990,2
25,35,ipIsoGram3,68_2,106692,FALSE,2.777320131,4.712774653,#3f37c990,2
124,134,idEpiSucc1,91_8,10535,FALSE,2.78696094,5.847953216,#3f37c990,2
95,105,icCocSept1,145_1,60547,FALSE,2.864933562,3.029826425,#3f37c990,2
81,91,icQueLate1,1951_4,1803,FALSE,2.895706357,0,#3f37c990,2
21,31,ibEctPall1,129_11,18692,FALSE,2.988928213,8.939393939,#3f37c990,2
5,6,ieEcdTorr1,176_2,12483,FALSE,3.151268185,5.844971636,#3f37c990,2
150,163,jrHalOcto1,59_1,52420,FALSE,3.198185449,7.377258159,#3f37c990,2
24,34,ipIsoGram3,179_4,16111,FALSE,3.281951621,14.8793711,#3f37c990,2
69,79,inChrCarn1,166_1,13418,FALSE,3.289463874,0.298507463,#3f37c990,2
32,42,iyEctCont1,149_1,194265,FALSE,3.441840984,15.04016828,#3f37c990,2
7,8,ieEcdTorr1,342_5,6711,FALSE,3.472349202,0.833333333,#3f37c990,2
27,37,iyMacAlbo1,152_2,23805,FALSE,3.500650305,5.888915717,#3f37c990,2
47,57,iyStePhae1,50_2,108560,FALSE,3.567903995,7.970617156,#3f37c990,2
67,77,iyAmbArma2,148_1,63220,FALSE,3.588303716,10.14185141,#3f37c990,2
50,60,iyMacEuro1,176_1,18512,FALSE,3.652648521,7.369675779,#3f37c990,2
99,109,icMalBipu1,133_2,20075,FALSE,4.069151885,6.15344563,#3f37c990,2
64,74,iyApaInim1,318_1,32353,FALSE,4.156078365,6.449769977,#3f37c990,2
65,75,iyVulBima1,148_2,54065,FALSE,4.58501664,10.4096903,#3f37c990,2
70,80,icPteMadi1,158_1,196235,FALSE,4.593924323,7.34364998,#3f37c990,2
125,135,idGymRotn1,189_5,19757,FALSE,4.948624952,19.2431562,#3f37c990,2
34,44,iyLasVill1,100_14,25605,FALSE,5.100584043,19.9352016,#3f37c990,2
109,119,idAthIbis2,1056_1,99477,FALSE,5.126953993,75,#3f37c990,2
126,136,idGymRotn1,397_4,6695,FALSE,5.403062278,84.44444444,#3f37c990,2
78,88,icQueLate1,255_11,12392,FALSE,5.460954451,5,#3f37c990,2
145,158,wpAliVire1,84_16,19816,FALSE,5.572149859,35.7857134,#3f37c990,2
30,40,iyAbiCand1,143_3,47844,FALSE,5.598154481,7.176841941,#3f37c990,2
129,139,idPhyMeln1,186_1,15946,FALSE,5.618378539,15.40880503,#3f37c990,2
73,83,icNebSali1,139_2,38388,FALSE,5.769698025,11.83729342,#3f37c990,2
149,162,ocSycCili1,135_7,3414,FALSE,5.776955377,10,#3f37c990,2
