fam,n,tot.bp,width,gc%,trash.fam,taxa,fasta,chrs,genome.bp,genome.gc,clade1,clade2,genus,spp
qelepcurv.1036,2767,2006335,726,0.457725178,1036_1,invertebrate,qeLepCurv1.1.fa,6,200247165,37.41,Arthropoda,Entomobryomorpha,Lepidocyrtus,curvicollis
qeorcflav.136,26178,3527007,136,0.448495775,125_1,invertebrate,qeOrcFlav1.1.fa,6,273379426,36.07,Arthropoda,Entomobryomorpha,Orchesella,flavescens
qeallfusc.145,21486,3083599,145,0.394101145,148_3,invertebrate,qeAllFusc8.1.fa,6,386064509,36.9,Arthropoda,Symphypleona,Allacma,fusca
ioisceleg.313,12570,3925837,313,0.32717628,315_60,invertebrate,ioIscEleg1.1.fa,14,1662899688,38.49,Odonata,Coenagrionidae,Ischnura,elegans
ieclodipt.72,19343,1370309,72,0.346184881,72_1,invertebrate,ieCloDipt1.1.fa,5,187343755,39.89,Ephemeroptera,Baetidae,Cloeon,dipterum
ieclodipt.116,3492,422099,122,0.177762727,106_2,invertebrate,ieCloDipt1.1.fa,5,187343755,39.89,Ephemeroptera,Baetidae,Cloeon,dipterum
ieecdtorr.246,10465,2562976,246,0.283816397,246_1,invertebrate,ieEcdTorr1.1.fa,11,485036935,28.5,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis
ieecdtorr.176,12483,2178290,176,0.356711226,176_2,invertebrate,ieEcdTorr1.1.fa,11,485036935,28.5,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis
ieecdtorr.128,10363,1314445,128,0.267647787,128_3,invertebrate,ieEcdTorr1.1.fa,11,485036935,28.5,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis
ieecdtorr.324,6711,2139242,320,0.28823026,342_5,invertebrate,ieEcdTorr1.1.fa,11,485036935,28.5,Ephemeroptera,Heptageniidae,Ecdyonurus,torrentis
ieprobifi.334,2640,875385,333,0.390678508,335_10,invertebrate,ieProBifi2.1.fa,5,197781101,38.33,Ephemeroptera,Baetidae,Procloeon,bifidum
ieprobifi.157,5333,833120,157,0.387900252,158_2,invertebrate,ieProBifi2.1.fa,5,197781101,38.33,Ephemeroptera,Baetidae,Procloeon,bifidum
ieprobifi.344,1773,608837,344,0.365263382,346_6,invertebrate,ieProBifi2.1.fa,5,197781101,38.33,Ephemeroptera,Baetidae,Procloeon,bifidum
ieprobifi.333,1843,611581,333,0.335382867,335_13,invertebrate,ieProBifi2.1.fa,5,197781101,38.33,Ephemeroptera,Baetidae,Procloeon,bifidum
iesipalte.340,15352,5199237,340,0.30317145,345_9,invertebrate,ieSipAlte2.1.fa,11,446182156,32.13,Ephemeroptera,Siphlonuridae,Siphlonurus,alternatus
iesipalte.174,10510,1810781,173,0.22061587,177_4,invertebrate,ieSipAlte2.1.fa,11,446182156,32.13,Ephemeroptera,Siphlonuridae,Siphlonurus,alternatus
iesipalte.175,5936,1030944,175,0.329658154,176_2,invertebrate,ieSipAlte2.1.fa,11,446182156,32.13,Ephemeroptera,Siphlonuridae,Siphlonurus,alternatus
