species	n_arrays	n_win	n_win_null	id_canon_obs	id_canon_null	excess_canon	id_motif_obs	id_motif_null	excess_motif
baccgen	3000	23	309	70.6	71.5	-0.9	89.5	66.7	22.8
bcorhaw	3000	3981	2387	70.7	71.3	-0.6	81.1	67.2	13.9
bfalbia	3000	781	335	70.6	71.6	-1.0	99.2	67.1	32.1
bfalche	3000	759	335	70.6	71.5	-0.9	99.2	66.5	32.7
bfalper	3000	20	314	70.6	71.6	-1.0	71.5	66.6	4.9
bgalgal	3000	5	132		72.3			69.6	
blagmut	946	190	762	70.8	71.5	-0.7	66.7	66.9	-0.2
bporhoc	3000	24	311	70.8	71.4	-0.6	78.9	66.7	12.2
daarcminu	3000	55	128	70.7	71.3	-0.6	77.9	67.3	10.6
dabalnigr	3000	7	39		71.2			69.7	
dalinvulg	3000	9	425		71.5			68.3	
damisoron	3000	0	140		71.7			68.6	
dascugale	3000	2548	100	76.0	71.4	4.6	93.3	68.5	24.8
dashearve	3000	0	6						
datanvulg	3000	0	127		71.2			68.8	
dcareserp	3000	0	196		71.3			68.8	
dcmoetrin	3000	2	79		71.0			68.4	
dcpolavic	3000	1	277		71.4			68.6	
dcpoltetr	3000	58	372	70.6	71.5	-0.9	87.2	68.3	18.9
dcspemari	3000	14	144	71.0	71.5	-0.5	86.1	68.7	17.4
ddarathal	3000	27	150	70.6	71.7	-1.1	93.2	68.4	24.8
ddbarvulg	3000	14	282	70.6	71.4	-0.8	69.7	67.4	2.3
ddeuppepu	3000	16	429	70.6	72.0	-1.4	78.7	68.5	10.2
ddhotpalu	3000	19	344	70.6	71.4	-0.8	68.7	67.6	1.1
ddmerannu	3000	25	94	71.3	71.5	-0.2	82.4	67.6	14.8
ddpopnigr	3000	283	337	70.6	71.6	-1.0	92.8	66.7	26.1
dhcorcolu	3000	47	1171	71.0	71.9	-0.9	75.2	68.2	7.0
dmaquvulg	3000	30	971	70.6	71.7	-1.1	71.4	68.8	2.6
dmbervulg	3000	1	403		71.7			68.4	
dmthaminu	3000	0	125		71.2			66.6	
drchaangu	3000	2	117		71.1			68.8	
drgeuriva	3000	0	165		71.2			67.6	
drhedheli	3000	108	207	70.6	71.2	-0.6	68.6	67.3	1.3
drmedarab	3000	94	184	70.6	71.3	-0.7	98.2	68.4	29.8
drparjuda	3000	1516	602	70.7	71.4	-0.7	92.7	68.8	23.9
drpotanse	3000	12	110	71.6	71.1	0.5	78.4	67.1	11.3
drtrifrag	3000	0	364		71.3			68.4	
eamarglac	3000	23	811	70.6	71.5	-0.9	69.3	66.6	2.7
falosap	3000	1	261		71.7			69.9	
fbarbab	3000	0	236		71.1			66.6	
fdanrer	3000	9	147		71.1			66.9	
fphogun	2907	0	269		71.4			67.9	
ftaubub	3000	4	176		71.3			66.9	
fthualb	3000	13	122	71.0	71.4	-0.4	84.2	66.5	17.7
fthumac	2582	30	58	70.6	71.5	-0.9	90.0	67.2	22.8
ftratra	3000	2929	874	76.3	71.9	4.4	97.4	69.7	27.7
