1314980at2759	1324510at2759	290630at2759	299766at2759	320059at2759	901894at2759	905026at2759	937275at2759	166920at2759	674160at2759	324863at2759	330169at2759
	gfMycGale1.hap1.1.fasta	dhAlnCord1.hap1.1.fasta	wrPisGeom1.1.fa	iyDysLute2.1.fasta	ieCloDipt1.1.fasta	drAilAlti1.1.fa	qeOrcFlav1.1.fasta	icOthPunc1.1.fasta	qeAllFusc8.1.fasta		grLepFlav1.1.fasta
	dhAlnInca1.hap1.1.fasta		dhAlnGlut1.1.fa	ucPseBory1.1.fasta	ucPseBory1.1.fasta	ocSycCili1.1.fasta	qxSacCarc1.2.fa	qeAllFusc8.1.fasta	grLepFlav1.1.fasta		cbThuTama2.1.fa
	gfPhaAlbo1.hap1.1.fasta		igLabMino1.1.fasta		izTheDome1.hap1.1.fasta	nxTriColu2.1.fasta	idMyoTess1.2.fasta	ieCloDipt1.1.fasta	gfButSuba1.1.fasta		ucPseBory1.1.fasta
	wcLumRube1.1.fa		gfPorCaly1.1.fasta		ieProBifi2.1.fasta		qeLepCurv1.1.fasta	ieSipAlte2.1.fasta	cbThuTama2.1.fa		gfClaFumo1.1.fasta
	gfAmaRube1.hap1.1.fasta		ibEctPall1.hap1.1.fasta		iyAmbArma2.1.fa		ucPycProv1.1.fa	qeOrcFlav1.1.fasta	ucPycProv1.1.fa		ucDunPrim2.1.fa
	gfClaFumo1.1.fasta				ucDunPrim2.1.fa		qeDicMinu4.1.fasta	ieEcdTorr1.1.fasta	qeDicMinu4.1.fasta		
	idChrAsil3.1.fasta							cbThuTama2.1.fa			
	daTraPrat1.hap1.1.fasta							nxTriColu2.1.fasta			
	dhBetPend1.hap1.1.fasta							ieProBifi2.1.fasta			
								qeLepCurv1.1.fasta			
								qeDicMinu4.1.fasta			
