label	regi	hor	mono_len_bp	sat_gc	genome_gc	genome_mb	chr_n	clade
peimten1.1	NA	NA	NA	NA	NA	NA	NA	Protist
pxeimprae1.1	NA	NA	NA	NA	NA	NA	NA	Protist
ftaubub2.1	45.77291783	27.20332921	185	35.1308958	42.21	614.935197	21	Vertebrata
fphogun1.2	50	75.13820179	191	35.9046917	42.25	585.911863	24	Vertebrata
ftratra1.2	33.15789474	10.99962307	181	40.9308253	41.94	790.723879	24	Vertebrata
fthumac1.1	2.222222222	14.16591816	126	39.3931601	39.7	777.69422	24	Vertebrata
fthualb1.1	13.33333333	13.3808306	126	45.3614184	39.72	789.89481	24	Vertebrata
ftoxjac2.1	NA	NA	NA	NA	NA	NA	NA	Vertebrata
ftelbon1.1	NA	NA	NA	NA	NA	NA	NA	Vertebrata
fpanhyp1.1	NA	NA	NA	NA	NA	NA	NA	Vertebrata
fbarbab1.1	29.06560924	29.61651153	255	33.9536187	37.88	1580.796296	50	Vertebrata
fdanrer4.1	41.80009063	24.4504778	185	34.9559721	37.07	1411.521271	25	Vertebrata
falosap1.1	19.6186432	16.09321814	174	27.5992443	42.98	897.979527	24	Vertebrata
facirut3.2	NA	NA	NA	NA	NA	NA	NA	Vertebrata
btaegut1.4	NA	NA	NA	NA	NA	NA	NA	Vertebrata
bcorhaw1.1	24.8641038922453	44.1458397640723	1293.30999146029	54.9789763115408	43.01	1130.345552	43	Vertebrata
baccgen1.1	57.26042408	23.41342695	173	54.6691416	42.56	1267.66746	40	Vertebrata
bporhoc1.1	19.52129735	10.66969334	190	49.9508287	43.36	1205.419206	34	Vertebrata
bfalper1.1	16.102445	18.73882931	174	50.101383	42.24	1216.967975	23	Vertebrata
bfalbia1.1	15.20979235	7.755343293	174	49.8123079	42.17	1200.130249	24	Vertebrata
bfalche1.1	19.67853135	7.120451296	174	50.1127717	42.41	1215.074843	24	Vertebrata
blagmut1.1	50	31.86273521	2101	40.076585	41.51	1013.513749	40	Vertebrata
bgalgal1.grcg7b	34.48823336	10.02486916	44	38.6718828	41.95	1041.122857	41	Vertebrata
rviplat1.1	36.18661716	16.27922938	168	40.7313926	40.87	1620.131368	18	Vertebrata
melemax1.1	84.22310642	77.74540767	846	53.5322244	41.07	3369.292286	29	Vertebrata
mcanlor1.2	64.07634433	47.13325288	734	50.8414218	41.38	2417.703804	40	Vertebrata
mmelmel3.2	53.09511845	32.39969365	142	47.3633975	42.01	2606.051894	23	Vertebrata
mdicbic1.1	77.92790859	45.67867282	228	39.4144142	40.94	2609.253203	42	Vertebrata
morcorc1.1	34.6368610166273	20.5847575978827	207.672741183835	57.2261613453919	41.6	2482.232656	22	Vertebrata
mcerela1.1	29.19393549	4.119747444	795	54.1107281	42.6	2771.818003	34	Vertebrata
mlemcat1.1	6.827111378	0.730699991	40	47.359424	41.12	2172.678573	29	Vertebrata
kaaplturb1.1	29.82582035	12.83745969	162	21.425119	37.6	605.415736	18	Invertebrata
eamarglac1.2	74.12878788	13.2686526	487	50.340947	39.46	516.080225	22	Invertebrata
iytipfemo1.1	10.21579431	20.65623816	138	42.3903232	43.8	272.678743	12	Invertebrata
iypripert1.1	5.89409687967728	3.65359677491831	187.050925137416	39.5855445861315	45.57	265.837825	15	Invertebrata
iyanonige1.1	5.897670795	7.113764228	349	39.3504962	45.59	277.009058	15	Invertebrata
iycerryby1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iypemlugu1.1	1.50052687038988	0.248232966428515	877.809348575008	41.091685047105	42.52	313.886327	5	Invertebrata
iymimdahl1.1	35.84045584	62.72577137	341	48.2355142	39.86	258.744608	18	Invertebrata
iyseltumu1.1	20.3880536095853	30.4112636773026	143.224476197527	41.9727779649589	40.55	333.608526	17	Invertebrata
iylasvill1.1	14.8437513343853	9.75624969564051	388.826378632066	40.9418761406198	40.72	401.825491	11	Invertebrata
iyanddors1.1	0	2.052919601	177	46.5013297	42.69	269.108231	3	Invertebrata
iystephae1.1	7.970617156	3.567903995	64	51.6332417	38.74	244.895215	17	Invertebrata
iycoeconi1.1	0	0.002538677	920	57.4001896	40.27	343.45348	12	Invertebrata
iynomfabr1.1	16.32506362	13.8937424	100	43.4843165	41.23	218.40154	12	Invertebrata
iybomhypn1.1	4.680619255	0.39416979	36	27.1334338	37.35	269.036764	12	Invertebrata
iymaceuro1.1	7.369675779	3.652648521	176	38.2291363	38.4	337.527336	11	Invertebrata
iynysspin1.1	42.66666667	75.89553746	180	39.6865986	37.37	231.180108	26	Invertebrata
iyectcont1.1	15.04016828	3.441840984	149	43.6188793	44.11	235.497558	14	Invertebrata
iyvesvulg1.1	33.33333333	21.34989532	1813	30.2622511	34.6	187.173957	25	Invertebrata
iyancnigr1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iybualabo1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iyambarma2.1	10.14185141	3.588303716	148	42.7083394	44.3	205.83051	12	Invertebrata
iyvulbima1.1	17.7831591721755	7.36233841585101	143.748440027733	40.7284518471767	42.34	263.92578	13	Invertebrata
iyapainim1.hap1.1	6.449769977	4.156078365	319	44.0015484	42.52	222.561983	10	Invertebrata
iyophlute1.1	21.01399588	6.204811691	161	47.0604256	38.82	639.526494	13	Invertebrata
iymacalbo1.1	5.888915717	3.500650305	151	33.95242	37.48	243.74191	8	Invertebrata
iyrhochlo1.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
iyabicand1.1	43.5169970086754	26.1140009909268	145.063455502848	38.2600047178974	36.91	215.712684	16	Invertebrata
iyathrosa1.1	29.64347537	11.49335447	46	44.4734892	41.33	170.936952	8	Invertebrata
idepisucc1.1	29.5508068562601	5.10620014873649	162.931841697473	31.3262635662954	32.77	396.435886	7	Invertebrata
idtacfera2.1	NA	NA	NA	NA	NA	NA	NA	Invertebrata
