spA	spB	mya	mean_pct_id	frac_sig	n_hits	group
baccgen	bcorhaw	62.20376187	29.0560729526608	0.001	383	Vertebrates
baccgen	bfalbia	32.158924617	38.51183573986967	0.0	941	Vertebrates
baccgen	bfalche	32.158924617	39.47172158358477	0.028	980	Vertebrates
baccgen	bfalper	32.158924617	39.48993182035049	0.021	971	Vertebrates
baccgen	bgalgal	93.33076962	28.46384931516008	0.0	643	Vertebrates
baccgen	blagmut	93.33076962	29.86348236847151	0.0	585	Vertebrates
baccgen	bporhoc	16.07946231	40.73773600045154	0.147	995	Vertebrates
baccgen	daarcminu	1341.483290135	25.10976937179312	0.0	13	Cross-group
baccgen	dabalnigr	1341.483290135	25.160314021904835	0.0	24	Cross-group
baccgen	dalinvulg	1341.48329014	25.07673937181123	0.0	11	Cross-group
baccgen	damisoron	1341.48329014	27.947029123972825	0.0	449	Cross-group
baccgen	dascugale	1341.483290135	25.2232564181938	0.0	31	Cross-group
baccgen	dashearve	1341.483290135	25.61666109167906	0.0	109	Cross-group
baccgen	datanvulg	1341.483290135	25.213364947149355	0.0	30	Cross-group
baccgen	dcareserp	1341.483290135	25.65607218768962	0.0	89	Cross-group
baccgen	dcmoetrin	1341.483290135	25.03671796726685	0.0	4	Cross-group
baccgen	dcpolavic	1341.483290135	25.28765606986284	0.0	40	Cross-group
baccgen	dcpoltetr	1341.483290135	25.954949732677026	0.0	115	Cross-group
baccgen	dcspemari	1341.483290135	25.683424479545742	0.0	84	Cross-group
baccgen	ddarathal	1341.483290138	25.286092489913667	0.0	42	Cross-group
baccgen	ddbarvulg	1341.483290137	31.308123756150696	0.0	791	Cross-group
baccgen	ddeuppepu	1341.4832901305	28.09895650203255	0.0	463	Cross-group
baccgen	ddhotpalu	1341.483290135	25.33186670915437	0.0	43	Cross-group
baccgen	ddmerannu	1341.4832901305	28.236975406319026	0.0	453	Cross-group
baccgen	ddpopnigr	1341.4832901355	30.33865751712278	0.0	733	Cross-group
baccgen	dhcorcolu	1341.4832901325	28.01007185190339	0.0	416	Cross-group
baccgen	dhquerobu	1341.4832901375	26.624846371401805	0.0	213	Cross-group
baccgen	dmaquvulg	1341.4832901300001	25.409704952741052	0.0	52	Cross-group
baccgen	dmbervulg	1341.4832901300001	27.807603299420624	0.0	347	Cross-group
baccgen	dmthaminu	1341.4832901300001	25.1418011428502	0.0	18	Cross-group
baccgen	drastglyc	1341.4832901375	25.10384279335096	0.0	14	Cross-group
baccgen	drchaangu	1341.483290138	27.72933408132199	0.0	375	Cross-group
baccgen	drgeuriva	1341.4832901335	25.065392462374312	0.0	9	Cross-group
baccgen	drhedheli	1341.483290135	25.630478507006504	0.0	79	Cross-group
baccgen	drmedarab	1341.4832901375	27.16372434545524	0.0	277	Cross-group
baccgen	drparjuda	1341.483290135	28.53842094572288	0.0	454	Cross-group
baccgen	drpotanse	1341.483290133	26.08493798309216	0.0	150	Cross-group
baccgen	drtrifrag	1341.4832901375	26.39571674339969	0.0	193	Cross-group
baccgen	eamarglac	612.39852072	28.54014464374217	0.0	400	Cross-group
baccgen	falosap	436.52744905000003	25.43214914563497	0.0	57	Vertebrates
baccgen	fbarbab	436.52744906500004	27.818194258525928	0.0	352	Vertebrates
baccgen	fdanrer	436.52744906500004	25.88469517461872	0.0	127	Vertebrates
baccgen	fphogun	436.52744906500004	25.254039592633408	0.0	42	Vertebrates
baccgen	ftaubub	436.52744906500004	25.21274384749032	0.0	31	Vertebrates
baccgen	fthualb	436.52744906450005	25.358429025766192	0.0	53	Vertebrates
baccgen	fthumac	436.52744906450005	25.642607706829143	0.0	106	Vertebrates
baccgen	ftratra	436.52744906500004	25.618984057957693	0.0	84	Vertebrates
baccgen	ibectpall	700.3340565880001	25.97320506311491	0.0	130	Cross-group
