genus	spA	spB	clade	mya	pct_id
Juncus	lpjuneffu	lpjunsqua	Viridiplantae	34.92901642	59.18367346938776
Juncus	lpjunbufo	lpjunsqua	Viridiplantae	34.92901642	63.76811594202898
Luzula	lpluzpall	lpluzsylv	Viridiplantae	26.19676231	82.9113924050633
Juncus	lpjunbufo	lpjuneffu	Viridiplantae	17.46450821	83.04093567251462
Schoenoplectus	lpschtabe	lpschtriq	Viridiplantae	9.138202412	94.85714285714286
Nebria	icnebbrev	icnebsali	Invertebrates	11.59500981	95.65217391304348
Schoenoplectus	lpschlacu	lpschtabe	Viridiplantae	18.27640481	97.74011299435028
Schoenoplectus	lpschlacu	lpschtriq	Viridiplantae	18.27640481	98.58490566037736
Thunnus	fthualb	fthumac	Vertebrates	4.054471359	99.3103448275862
Malus	drmaldome	drmalsylv	Viridiplantae	38.71375958	99.51456310679612
Geum	drgeuriva	drgeuurba	Viridiplantae	12.86861367	100.0
