species	n_windows	id_obs	id_shuffle	excess	name	vgroup	clade
qelepcurv	590	70.7	30.0	40.7	Lepidocyrtus curvicollis		Invertebrate
qeallfusc	66	70.6	28.2	42.4	Allacma fusca		Invertebrate
ioisceleg	35	70.6	30.8	39.8	Ischnura elegans		Invertebrate
ieclodipt	29	70.6	27.0	43.6	Cloeon dipterum		Invertebrate
ieprobifi	1670	71.3	28.8	42.5	Procloeon bifidum		Invertebrate
iesipalte	918	71.7	32.8	39.0	Siphlonurus alternatus		Invertebrate
ihaelacum	53	81.5	28.1	53.4	Aelia acuminata		Invertebrate
ihicepurc	545	70.8	29.7	41.1	Icerya purchasi		Invertebrate
iuloevari	263	70.6	28.9	41.7	Loensia variegata		Invertebrate
ibectpall	18	70.6	26.8	43.8	Ectobius pallidus		Invertebrate
ipisogram	16	70.6	26.1	44.5	Isoperla grammatica		Invertebrate
ipnemdubi	2062	71.0	31.6	39.4	Nemoura dubitans		Invertebrate
iymacalbo	31	70.6	26.4	44.2	Macrophya alboannulata		Invertebrate
iyathrosa	45	71.9	28.9	43.0	Athalia rosae		Invertebrate
iyabicand	115	70.6	29.1	41.5	Abia candens		Invertebrate
iyanddors	1475	70.7	29.1	41.6	Andrena dorsata		Invertebrate
iystephae	2476	73.6	29.2	44.4	Stelis phaeoptera		Invertebrate
iynomfabr	24	70.6	26.7	43.9	Nomada fabriciana		Invertebrate
iymaceuro	38	70.6	29.6	41.0	Macropis europaea		Invertebrate
iymimdahl	2545	70.6	25.9	44.8	Mimumesa dahlbomi		Invertebrate
iytipfemo	598	70.6	26.9	43.8	Tiphia femorata		Invertebrate
iypripert	93	70.7	28.5	42.1	Priocnemis perturbator		Invertebrate
iyanonige	97	70.6	27.9	42.7	Anoplius nigerrimus		Invertebrate
iyvesvulg	1228	71.2	28.9	42.3	Vespula vulgaris		Invertebrate
iyapainim	37	70.6	27.2	43.4	Apaeleticus inimicus		Invertebrate
iyvulbima	1326	75.4	29.3	46.1	Vulgichneumon bimaculatus		Invertebrate
inchrcarn	131	71.2	29.4	41.8	Chrysoperla carnea		Invertebrate
icagofuli	53	70.6	28.5	42.1	Agonum fuliginosum		Invertebrate
icnebbrev	1872	70.8	28.2	42.6	Nebria brevicollis		Invertebrate
icnebsali	2200	72.2	28.7	43.5	Nebria salina		Invertebrate
iccarprob	266	71.9	28.6	43.3	Carabus problematicus		Invertebrate
icquelate	85	70.8	30.8	40.0	Quedius lateralis		Invertebrate
icsilatra	61	70.6	26.7	43.9	Phosphuga atrata		Invertebrate
icnicinve	14	70.6	24.8	45.8	Nicrophorus investigator		Invertebrate
iccetaura	28	70.6	31.3	39.3	Cetonia aurata		Invertebrate
icpolcerv	2744	78.7	29.7	49.1	Polydrusus cervinus		Invertebrate
icadabipu	57	70.8	32.0	38.8	Adalia bipunctata		Invertebrate
iccocsept	37	70.6	30.4	40.2	Coccinella septempunctata		Invertebrate
icharaxyr	1897	70.6	27.8	42.8	Harmonia axyridis		Invertebrate
ichalsede	37	71.2	29.7	41.5	Halyzia sedecimguttata		Invertebrate
icagrcyan	19	70.6	32.8	37.8	Agrilus cyanescens		Invertebrate
