species	n_paralogs	seq_ids
lpPolViri	12	lpPolViri_ENA|OZ174309|OZ174309.1_001946.1|lpPolViri_ENA|OZ174320|OZ174320.1_004617.1|lpPolViri_ENA|OZ174310|OZ174310.1_001356.1|lpPolViri_ENA|OZ174307|OZ174307.1_001979.1|lpPolViri_ENA|OZ174317|OZ174317.1_005505.1|lpPolViri_ENA|OZ174317|OZ174317.1_005503.1|lpPolViri_ENA|OZ174315|OZ174315.1_001201.1|lpPolViri_ENA|OZ174320|OZ174320.1_004614.1|lpPolViri_ENA|OZ174317|OZ174317.1_005504.1|lpPolViri_ENA|OZ174310|OZ174310.1_003604.1|lpPolViri_ENA|OZ174317|OZ174317.1_005502.1|lpPolViri_ENA|OZ174320|OZ174320.1_004616.1
ucPycProv1	8	ucPycProv1_rescue18|ucPycProv1_rescue19|ucPycProv1_rescue7|ucPycProv1_rescue12|ucPycProv1_rescue20|ucPycProv1_rescue14|ucPycProv1_rescue10|ucPycProv1_rescue17
lpHieOdor1_odorata	7	lpHieOdor1_odorata_Chr12_005754.1|lpHieOdor1_odorata_Chr8_004004.1|lpHieOdor1_odorata_Chr8_004006.1|lpHieOdor1_odorata_Chr12_004373.1|lpHieOdor1_odorata_Chr12_005750.1|lpHieOdor1_odorata_Chr12_004375.1|lpHieOdor1_odorata_Chr8_004005.1
dmThaMinu	6	dmThaMinu_ENA|OZ239702|OZ239702.1_004154.1|dmThaMinu_ENA|OZ239702|OZ239702.1_000088.1|dmThaMinu_ENA|OZ239695|OZ239695.1_002226.1|dmThaMinu_ENA|OZ239688|OZ239688.1_000081.1|dmThaMinu_ENA|OZ239695|OZ239695.1_002366.1|dmThaMinu_ENA|OZ239688|OZ239688.1_004868.1
qeOrcFlav	5	qeOrcFlav_ENA|OZ035957|OZ035957.1_000903.1|qeOrcFlav_ENA|OZ035954|OZ035954.1_006488.1|qeOrcFlav_ENA|OZ035954|OZ035954.1_006493.1|qeOrcFlav_ENA|OZ035954|OZ035954.1_003646.1|qeOrcFlav_ENA|OZ035953|OZ035953.1_002172.1
rosCan_subseq1	5	rosCan_subseq1_Rca1_S1_h2_004335.1|rosCan_subseq1_Rca1_R3_004165.1|rosCan_subseq1_Rca1_R4_003919.1|rosCan_subseq1_Rca1_S1_h1_004331.1|rosCan_subseq1_Rca1_S2_004089.1
icNebBrev1	5	icNebBrev1_chr_6_000513.1|icNebBrev1_chr_12_000214.1|icNebBrev1_chr_6_000281.1|icNebBrev1_chr_10_000503.1|icNebBrev1_chr_X_000480.1
lpLuzPall	5	lpLuzPall_ENA|OZ187630|OZ187630.1_004630.1|lpLuzPall_ENA|OZ187630|OZ187630.1_004629.1|lpLuzPall_ENA|OZ187632|OZ187632.1_002533.1|lpLuzPall_ENA|OZ187630|OZ187630.1_000127.1|lpLuzPall_ENA|OZ187630|OZ187630.1_000126.1
lpPoaChai	4	lpPoaChai_ENA|OZ173747|OZ173747.1_000064.1|lpPoaChai_ENA|OZ173744|OZ173744.1_001276.1|lpPoaChai_ENA|OZ173747|OZ173747.1_000063.1|lpPoaChai_ENA|OZ173744|OZ173744.1_001275.1
icApoCory1	4	icApoCory1_chr_3_000392.1|icApoCory1_scf_70_000004.1|icApoCory1_chr_13_000947.1|icApoCory1_chr_16_000686.1
cbIsoPulc3	4	cbIsoPulc3_ENA|OZ210566|OZ210566.1_001820.1|cbIsoPulc3_ENA|OZ210567|OZ210567.1_000808.1|cbIsoPulc3_ENA|OZ210568|OZ210568.1_000797.1|cbIsoPulc3_ENA|OZ210564|OZ210564.1_001813.1
lpDigSang	4	lpDigSang_ENA|OZ156436|OZ156436.1_001159.1|lpDigSang_ENA|OZ156432|OZ156432.1_001272.1|lpDigSang_ENA|OZ156432|OZ156432.1_001273.1|lpDigSang_ENA|OZ156436|OZ156436.1_001160.1
icSilAtra2	4	icSilAtra2_chr_5_001095.1|icSilAtra2_chr_5_001094.1|icSilAtra2_chr_5_001091.1|icSilAtra2_chr_5_001090.1
lpPhlPrat	4	lpPhlPrat_ENA|OZ273859|OZ273859.1_006049.1|lpPhlPrat_ENA|OZ273858|OZ273858.1_001347.1|lpPhlPrat_ENA|OZ273858|OZ273858.1_001346.1|lpPhlPrat_ENA|OZ273854|OZ273854.1_005820.1
dcPolTetr	4	dcPolTetr_ENA|OZ251114|OZ251114.1_000944.1|dcPolTetr_ENA|OZ251117|OZ251117.1_002414.1|dcPolTetr_ENA|OZ251127|OZ251127.1_002546.1|dcPolTetr_ENA|OZ251134|OZ251134.1_000830.1
cbCalCord2	4	cbCalCord2_ENA|OZ209170|OZ209170.1_000696.1|cbCalCord2_ENA|OZ209165|OZ209165.1_000787.1|cbCalCord2_ENA|OZ209167|OZ209167.1_000760.1|cbCalCord2_ENA|OZ209173|OZ209173.1_000634.1
lpLeeOryz	3	lpLeeOryz_ENA|OZ228964|OZ228964.1_000377.1|lpLeeOryz_ENA|OZ228960|OZ228960.1_003231.1|lpLeeOryz_ENA|OZ228968|OZ228968.1_000360.1
idSicFerr1	3	idSicFerr1_chr_X_002608.1|idSicFerr1_chr_X_001254.1|idSicFerr1_chr_X_002574.1
lpJunBufo	3	lpJunBufo_ENA|OZ263730|OZ263730.1_000539.1|lpJunBufo_ENA|OZ263725|OZ263725.1_000072.1|lpJunBufo_ENA|OZ263723|OZ263723.1_000578.1
icOphArdo1	3	icOphArdo1_chr_9_001253.1|icOphArdo1_chr_15_000012.1|icOphArdo1_chr_12_001024.1
idProAzur1	3	idProAzur1_chr_5_002429.1|idProAzur1_chr_5_001012.1|idProAzur1_chr_3_003119.1
drMalSylv7	3	drMalSylv7_chr_3_000736.1|drMalSylv7_chr_1_001941.1|drMalSylv7_chr_7_002063.1
drHedHeli1	3	drHedHeli1_SUPER_9_001915.1|drHedHeli1_SUPER_24_000828.1|drHedHeli1_SUPER_9_000037.1
lpBroSter1	3	lpBroSter1_ENA|OX465601|OX465601.1_004647.1|lpBroSter1_ENA|OX465599|OX465599.1_003768.1|lpBroSter1_ENA|OX465601|OX465601.1_000886.1
bGalGal1	3	bGalGal1_rescue6|bGalGal1_rescue20|bGalGal1_GRCg7b_chr_16_000087.1
icNebSali1	3	icNebSali1_chr_9_000388.1|icNebSali1_chr_X_001400.1|icNebSali1_chr_18_000201.1
fAciRut3	3	fAciRut3_chr_8_000087.1|fAciRut3_chr_41_000200.1|fAciRut3_chr_38_000217.1
idSphTaen1	3	idSphTaen1_chr_1_003521.1|idSphTaen1_chr_3_003127.1|idSphTaen1_chr_1_004640.1
lpLuzSylv1	3	lpLuzSylv1_SUPER_4_002983.1|lpLuzSylv1_SUPER_1_004784.1|lpLuzSylv1_SUPER_5_000676.1
