qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore
ipNemPict2_chr_10_000110.1	Danio_rerio_DRER013080_CENPA_CenpA	40.000	110	492	145	1.10e-17	67.8
ipNemPict2_chr_10_000110.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	38.835	103	492	288	8.95e-17	68.2
ipNemPict2_chr_10_000110.1	Homo_sapiens_HSAP011513_CENPA_CenpA	36.792	106	492	140	1.99e-14	58.5
xgBioGlab47_SUPER_9_000930.1	Danio_rerio_DRER013080_CENPA_CenpA	64.211	95	196	145	1.23e-39	121
xgBioGlab47_SUPER_9_000930.1	Homo_sapiens_HSAP011513_CENPA_CenpA	55.238	105	196	140	1.80e-33	105
xgBioGlab47_SUPER_9_000930.1	Mus_musculus_MMUS037970_Cenpa_CenpA	46.825	126	196	134	1.50e-32	103
ieSipAlte_ENA|OX463781|OX463781.1_002064.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	47.458	118	141	288	9.38e-32	103
ieSipAlte_ENA|OX463781|OX463781.1_002064.1	Danio_rerio_DRER013080_CENPA_CenpA	46.078	102	141	145	1.94e-28	91.3
ieSipAlte_ENA|OX463781|OX463781.1_002064.1	Mus_musculus_MMUS037970_Cenpa_CenpA	45.977	87	141	134	1.28e-23	78.6
ieSipAlte_ENA|OX463780|OX463780.1_001724.1	Danio_rerio_DRER013080_CENPA_CenpA	52.542	59	134	145	9.68e-18	63.2
ieSipAlte_ENA|OX463780|OX463780.1_001724.1	Mus_musculus_MMUS037970_Cenpa_CenpA	56.250	48	134	134	4.00e-17	61.2
ieSipAlte_ENA|OX463780|OX463780.1_001724.1	Homo_sapiens_HSAP011513_CENPA_CenpA	56.250	48	134	140	2.76e-16	59.3
pEimTen1_rescue3	Danio_rerio_DRER013080_CENPA_CenpA	58.242	91	203	145	6.55e-34	107
pEimTen1_rescue3	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	42.857	147	203	288	1.23e-31	105
pEimTen1_rescue3	Homo_sapiens_HSAP011513_CENPA_CenpA	59.302	86	203	140	1.84e-28	93.2
pxEimPrae1_rescue12	Danio_rerio_DRER013080_CENPA_CenpA	54.167	96	127	145	7.58e-34	104
pxEimPrae1_rescue12	Homo_sapiens_HSAP011513_CENPA_CenpA	54.651	86	127	140	2.87e-29	92.4
pxEimPrae1_rescue12	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	43.860	114	127	288	4.23e-28	93.2
pxEimPrae1_rescue8	Danio_rerio_DRER013080_CENPA_CenpA	54.082	98	218	145	4.27e-36	113
pxEimPrae1_rescue8	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	37.342	158	218	288	1.65e-28	97.4
pxEimPrae1_rescue8	Homo_sapiens_HSAP011513_CENPA_CenpA	55.056	89	218	140	1.01e-27	91.7
qeAllFusc_ENA|OX359247|OX359247.1_001298.1	Homo_sapiens_HSAP011513_CENPA_CenpA	61.053	95	269	140	3.12e-32	104
qeAllFusc_ENA|OX359247|OX359247.1_001298.1	Danio_rerio_DRER013080_CENPA_CenpA	52.041	98	269	145	1.92e-30	100
qeAllFusc_ENA|OX359247|OX359247.1_001298.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.400	125	269	134	9.11e-26	87.8
qeAllFusc_ENA|OX359245|OX359245.1_008527.1	Homo_sapiens_HSAP011513_CENPA_CenpA	61.628	86	267	140	5.14e-31	101
qeAllFusc_ENA|OX359245|OX359245.1_008527.1	Danio_rerio_DRER013080_CENPA_CenpA	51.818	110	267	145	2.32e-30	100
qeAllFusc_ENA|OX359245|OX359245.1_008527.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.082	122	267	288	8.36e-28	97.1
xgPatPell1_rescue14	Danio_rerio_DRER013080_CENPA_CenpA	53.465	101	102	145	3.75e-34	103
